element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
H,0.2779879852229832,-0.8971399914669552,0.3212639022953867,2.194478144500442,-1.8787858189925561,-0.3645379801329518,2.028393029597014,-0.4908869734276031,1.0391279844090853,2.822418939954987,1.297583998414131,0.0010292514480576376,-0.042452932520166554,-0.5103607905657629,-0.4929183096475105,2.7505562596880377,-2.2041976135198964,0.13872558854758285,-0.8776629306433686,0.6247986864999073,0.47372632902738204,-1.9178238353410166,0.5977215115180337,0.05902816131865184,3.7881232438313432,-0.6719113039275059,1.2286470000371343,-2.3887153788174253,1.0411987604774755,0.37810315130952543,-0.8689381272473904,-2.1672396362645463
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.1454940183933656,-0.8224811874203642,0.46655691680154715,0.04728769565164897,-0.541512066708011,0.045525469557819574,0.6983845325966184,-1.2614921415454425,-0.6047351755429115,2.2835117931217286,2.1187418514343515,0.2831372114979995,2.0641652294375112,0.33923678290305714,0.3843670650749759,1.2206770658636026,-0.11991442800242855,-1.0027060031285022,0.710309791264238,0.23903576607905397,2.6101307521673682,-0.7885295625142975,-0.44564710992977974,-0.23971837613939864,2.014298433695215,-0.9718972274783325,1.6718437551415952,-1.66616104415882,1.3586045867915073,-1.3187299700595527,-0.6657137957270328,0.08449684439675692
Be,0.10717789619826174,-0.27227692526817515,-0.9632751127713216,0.27418451838412916,-1.2188949449309692,2.7257638860994424,1.9391001515342055,0.9847741030600377,0.9171809492798736,1.0372871628571274,0.7265918679279533,1.2471559579926927,1.5472971957949153,1.3285285177894834,-0.6881208485696189,1.2160057934643544,0.21512740274406675,-1.0132431051562887,-0.16703573198791707,1.2394376796553708,1.3226732654600704,0.098728256077044,0.26896944276813195,-0.3131614948621606,1.388283120216363,-0.009114962837250521,0.5443592116999488,-0.726254427388373,1.1974447713512872,-1.3718337669762515,-1.9444693119320815,-1.659164791956273
B,-0.06114624948058315,0.602223279014156,-1.4386615349547605,-1.219386408249165,-1.3710201278806275,2.767931127711698,0.5277539275914521,1.5149152717337004,1.9653751461215703,1.3764738007995605,-0.6888839130350961,0.17379787464590632,-0.07556352006770008,-0.2710671736123276,-1.5276996871171706,2.545544362548036,0.02882197656939981,-0.2779348221273339,-1.0956336477671045,0.5802397307005706,-1.1227189277823837,-0.954040403571527,-0.5302792315716868,0.32075030385294984,1.046160780250329,-1.1735501589375281,1.9867043016300676,0.3245495967378621,-0.1142086201862623,-0.8381142171164553,-2.206064842808666,-1.6760523150311437
C,-0.24938934216604142,0.7232644892816562,-1.5360241964886658,-0.058583412864342536,-0.5153804035201404,1.7611677071665746,-0.46912259615410795,1.0225409604028737,1.5549000641000932,1.1673013942683748,-0.7507751911882503,-0.8350734833611644,-0.7946262224889317,-0.8205839963996144,-0.2627981694877145,3.0044696574786847,-0.09441748534496328,-1.241781327631827,-1.4964588552842948,2.232174962086096,-1.220393404200977,-1.6082512654625551,0.5178490706418598,0.698223250679169,1.6060827439515368,-1.3280831693584165,-0.17935310821828532,1.3336369121595109,0.6414303908250932,0.6367903358432451,-0.9700024471877545,-1.1502723413946396
N,2.8029722415815437,-1.121896462374416,-1.1944770041738353,2.268737206167805,-0.1355312265724056,1.6794720176711506,-1.042472640708532,1.6814649047069323,2.022317535934169,0.628119310771855,-0.147614622562112,-1.1799167030238908,-1.0081354732660064,-1.0198930352358806,-0.02245589245754187,1.4309460213610368,-0.35066560496529287,-0.3324399632409086,-0.96931958238101,1.7952608501411893,-2.0961733282148707,-2.037302546944664,-1.3248838775842564,1.9196676462163476,1.5738568784765343,-1.8284216693360162,0.8040164401723755,-0.4617262455203934,0.9313340728006404,1.3438469532143775,-0.9450441522478651,-1.596803592989704
O,3.916573714716277,-0.3330061079719545,-0.26694980159404075,0.31914632396607334,-1.4591395738108108,1.2927155926689422,-0.6136411549680175,1.3216798210506562,2.374022545685184,1.2816762033123401,-0.10199077272357603,-2.094253913881535,-0.8536321548444323,-0.18956916724639275,-0.06072599944426886,3.941327253835237,-2.3382357422231133,0.9115779314568414,-0.5165719631271357,1.5674514234716355,-0.20782987533702815,-2.056810161220107,-1.399346633196648,1.2610393346029922,0.7774103954815863,-1.3862830372993356,-0.5602458631947688,-1.865391855211167,1.281581967954364,1.1638792362615362,0.5199873252394501,-1.527391367247097
F,3.2271610682090657,-0.44018612423723263,1.071065010147858,0.4912770381219349,-0.07285898225606185,-0.34861398546808353,0.0928775268594724,1.8062108193499158,2.3695639316731087,1.61465384596804,0.5749052862456308,-0.9670153187588688,-2.158043462951365,-0.8424345736044319,0.577370949723485,3.1987968698469005,-2.62383601156691,0.9877337404769724,-0.6955729757862364,2.163551754759007,1.9427075145072237,-1.1177461555290278,0.08776900257907673,1.7763071487831108,2.184426211268336,-3.0315291964428615,0.10707661060570023,-0.8507731003353043,2.133272344908135,0.8450141853145023,0.9585998910612566,-2.500289098107992
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
