element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
H,0.42753204679631557,1.1180580678934702,1.4909309941429312,-2.2576898003864847,-0.45619295336850246,-0.07729851680763077,0.5776750038362105,1.2777609935065388,-3.093229273302717,-1.034094201311782,-2.1323634367208184,0.3411149929666827,1.916680800743414,1.3096378515905645,2.925541572797196,0.18874717010542094,0.8850471078075264,0.07214179486632864,-1.5593045230208786,3.190613073613592,-0.36829601378350274,2.445966254864721,-0.31728412612697204,-2.2764205982322387,-2.3030460910244934,-1.875638537541807,-0.5121103300236113,-0.2639401472105269,-0.11014948066350479,0.6597610694618868,-1.6384083428523681,1.331454140868117,0.6410307434845817,1.5446681210456052,0.728942077588189,3.075469682813454,-1.466178310587937,0.6460389079432544,-1.6061838043138381,-1.323003682263867,-1.3572717619252985,1.4182741828696568,1.683079241422842,-2.0856717415593367,0.08335496524316098,-0.06913879668218503,-2.8489055761867768,-0.43654228286496766,0.035870278134981934,-1.549005431808892,-0.298122148550527,2.3113005261672472,0.05659985300830146,-1.9974008424331278,1.2156288515746914,2.121866539963716,0.9198040772290075,0.40149582343192813,2.266268958239908,2.6026748900302064,-1.540197564337509,-1.0452136629657127,-2.087706554995214,-0.6855523139684898
He,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,-0.6190367178757413,0.7246807178484025,1.4237012769336477,-0.6839352670954497,0.46236663023548497,-0.7782970710977644,-1.430694648699083,0.7336898649308028,-1.732560324653526,-0.9549267597402445,-2.0238774037325142,-0.6527585716298329,1.7600127064255542,-0.042189225691740606,2.1340362622444204,1.2551012873418723,0.2663496639000449,2.025016453238193,-1.6772168762402815,1.5061902252351675,1.1094143754478683,1.7361557604968076,-0.6081212679785907,-1.090217842320511,-2.181615966257189,-0.8389228326290596,0.19893685100018121,-0.23939574222432547,0.5491854232244796,-0.11791860927201987,-0.8542641284563285,1.158026624522768,1.3295019991663586,-0.788724821057176,0.5773300809923682,0.27102490970135434,-0.19505038654230805,1.9840113921578248,0.3443812328875794,-0.9650585713596115,-2.3009192434714505,-0.8406960323639293,1.5345141423165949,-2.6191397111023593,-0.2982316186314325,-1.1216669233468992,-1.6650876757683002,-0.40258476700879564,1.3056423849059662,0.8854847299314704,-0.4707273746559694,-0.08899624768609384,1.0669668901284581,-1.6880769374224254,0.4645161644184341,2.191469854778396,0.7077471608738092,-0.18206605797152373,0.5571618415230539,1.7369696276969746,0.6546537899945619,-0.660412468152484,-0.8965077431220484,-0.6684779183430345
Be,1.1528530678611268,-1.401695467167975,1.8649830580828144,-2.2879824404975997,1.4931924174855877,0.34918445585494245,-0.571570922957431,-0.1251910916860879,-0.9027174863956868,-0.32511185551883154,-0.1330510073494022,-0.06679164738830304,1.2677485906710049,-1.5912107167748444,1.1749557544377762,2.3754126420532713,0.246386441322985,2.325072945561315,1.6250594982276518,-0.3211047937336051,-0.28245955996603705,0.7699740747775183,0.49471963564541244,-2.744290211919805,-1.4143211750879519,-0.20340800099528122,0.15691807273162425,-0.0808056657941211,-1.2000888484779657,1.7847184928125825,0.6722102761273876,1.079020681489108,-0.16088402244130035,0.7594962288032293,0.6074953438703858,0.7440658768890724,-0.6111917280641277,2.3880199742219914,-0.28647235322982395,0.9588176474061747,-1.4249524841008967,1.7584322445667309,1.3764907752950015,-2.0415280291686715,0.8661209749344935,-1.443437384855084,-0.1475998792431946,-0.34561187798017384,-0.0919900063288452,-0.04073965384194529,-1.2859020725458885,-0.958045898923493,-0.023178028794095366,-0.003737155953339309,0.790088563808878,1.0833888986314708,-0.32122789169926813,-0.17066697932172012,-0.03198495370932745,1.0012479882879237,0.5677412656860634,0.0031737708544153716,-1.8457782213794867,-1.0196020187066297
B,0.17583996656033257,-1.2019484593716234,1.2594460387717634,-1.1903264767182753,2.1979350391216883,1.855537047959071,1.26374463463022,-0.673982879544141,-2.581387552486924,0.49945575571758744,-0.9425649061032688,0.3754761139950866,0.9363952035010475,-1.437746298867984,1.912872137642373,0.9194002761522615,1.0264004306936851,1.9526939439530702,-0.5128192600402621,1.1725498134075343,-2.2120522028742835,-0.15255522280949213,1.2049351192784203,-0.4196665252850068,0.04811132809991378,-0.8181367360614481,-0.730558335229909,1.3284251507351357,-2.093496186445855,0.15358581087034393,0.43541225167006964,1.0337355526108798,-1.474789402060721,1.078862543421786,-1.0941575198371156,1.4840525112742113,-0.8697324418251756,2.854897106197006,-1.4936288684212737,-0.6714305001801738,-0.92928892525166,1.5860513820193374,0.22270848397589732,-0.3332085085759565,0.5248345815905212,-0.37284425023671763,-0.8250630222006067,-0.3585145435662866,-2.0420838960469987,-0.8116991088975638,-1.0231733359907704,1.0782731751364043,1.2068610750679367,0.24897529507859592,0.944907862715368,0.9152158208826272,-1.3314227060827362,0.6259181913279017,2.530268676309715,0.17714671708482108,-0.9999480633130741,-0.26727516466201273,-1.462213235168223,0.1456467229699207
C,1.636173985806746,-2.1216406610551144,0.00039112214206714823,-2.6043427796573693,1.0426830396260438,1.65911106929765,0.13225546660409238,-0.05314212741056121,-1.633296075813975,0.7445725970080571,1.3392668084388168,-0.9706724494151343,0.8190632177446504,-0.770677984270583,0.514354139571634,1.5178586582253826,2.2524313689296447,0.650642524417215,-0.21742244169354397,1.7932568724983216,-1.2958729140401446,-0.27865328749616675,0.9367967727153781,-1.2856190407101906,0.8628379839844461,-0.5647038436396086,-0.6371039833662328,1.4904303351634616,-1.1539949754948347,1.5947764396719772,-0.512386265215078,0.7515158610337599,-0.023576354340315978,1.5176559491263801,-0.28444553307012116,1.1789576090540759,-0.5899082111758851,2.2918831612982715,-1.8963872405486648,0.3480365057783073,-0.18824964135102967,0.24593177981310757,0.9597672811771788,0.4826858926977654,1.4974159939056808,-1.078183816011817,-1.6567504669967308,0.30713035891532664,-2.3223989999276196,-1.2218745852572614,-1.5943998940148398,0.4092320699340132,-1.758869983351461,-0.7212949884304554,2.6654175300039276,-0.46880824706984037,-0.17591726236534858,2.3588887446296045,2.1518533363370547,1.1597689635889765,-1.0620567771204494,-0.6461914390228491,-0.9720175770653464,0.9358070474452468
N,1.152899011638014,-0.6219437417967156,0.5663782219558263,-1.9591560470150318,1.9246390146926313,1.1505753497712956,0.3148410252766381,0.9890569139578125,-2.3097717144796053,0.24656901741269213,1.9783713334230113,-0.10448102893979759,-0.9414476981849295,0.3675953492566924,-0.0226631244303109,1.5849167671890014,1.8805567570402342,-1.8473947868718914,1.5331167233027574,0.8644053176450075,-2.722555831714741,0.0019906933073188288,-1.0465108352851467,-0.9498315977493761,1.1853739289391092,-0.17082760296798852,-1.4035549881127156,0.9874695105284033,-1.3543226211026989,-0.694588669683226,-2.4528531927038424,0.23934073195578187,-0.7368782129865457,-1.0036225409780806,-0.40822144904990154,1.204684328458681,-2.616352171511452,-0.287628619808123,-1.653190322421137,-0.4726759166452973,-0.9806557885707552,0.13217281676427825,1.4555536562589175,1.0894850895058785,0.8943541373765554,-0.4713313137571243,-1.8386932950971648,0.840057599758465,-2.5740647704659367,-1.8980195795051307,-1.4586656406570184,-0.5678801756043041,-0.7800125339556583,-1.7727494629594878,2.56538404192734,0.49464066194669865,0.7984735516814924,1.622925096995707,2.272685280345685,0.30061695882523937,-0.37892447706493493,0.3442863647196245,-2.3983586231474145,0.48856441077392015
O,1.188574845268473,-0.34984449592095107,1.6908076031961623,0.3558282841725717,-0.7753539839628157,0.1491376286917664,0.718774489344679,0.9007402515683847,-2.330815351875466,0.27964081292318954,1.7042160633346266,-2.0086366365486503,-0.07433352497926403,1.3517480702387696,1.6171159111837594,0.9305331613314115,2.4366879666604753,-0.8501287827495372,-1.5481756145734549,1.929383157367276,-1.3585175648483194,1.955090763384139,-0.09480192890363431,-1.544643606116984,0.010154922511348684,-1.183492540692078,-2.3947186618525538,-0.04433208786649728,-1.9140950187754455,1.593221605644986,-2.249337200192806,-0.4821152076981803,1.8348330367848567,-0.3221549295568637,-1.7132028471961294,0.6149745522128008,-2.873596038203623,-0.9336522129079198,-1.8828717801678152,-1.0938263769724206,-0.25433085598125144,-0.755834294392094,1.7648236647274795,0.7075485089497533,1.1829395922506405,0.6714720953000598,-2.2142898183612094,0.1769081873510403,-2.4424444926995093,-2.703188811436175,-0.4723852713954563,1.127588621694602,0.33501085952315884,-0.9047249573925261,0.11237848835960665,1.0404688870921375,0.9936903391328193,3.8249350007402643,2.2601948195117965,2.335622885593912,-1.8699707247212198,-0.5085955053149188,-1.7425496251824797,0.31661829878512054
F,-1.4763031740220274,-1.2246075614250511,1.4597192196974034,-0.13960581351559812,1.2851475819837694,-0.19783721570905452,-0.24482757499097313,2.071465786722042,-1.8595553838441923,-0.240150438652831,-0.3899776508663344,-0.9597356646073222,0.693219286578325,1.4470092839088473,0.5455507066227677,-0.4002367358084641,2.7839386768205103,-1.4505018388015098,-0.9503647241404783,2.9788066336077614,-2.41505962071084,2.048752768345074,-0.7477465515726653,-0.5404339513559283,-0.9142010676521581,-1.4904120592639878,-0.7659958749135912,-0.10468585330729316,-0.9302512831649425,-1.384423741011404,-2.9019147946914154,0.5212888776505392,0.6662330499025387,1.8306255052591391,-0.25034640169948735,1.4143554429591931,-2.7702314304785127,0.3648902769817519,-0.7427257080002042,-2.0510479794283394,0.5817803264862327,-1.5315033160959883,1.9411134263814926,1.484687027472118,1.176088943238759,2.0622237752247217,-2.555276645460239,-0.9123276838096828,-1.5762542773774841,-1.6282040176307886,-0.1385354934354604,0.3084627051315298,-0.31926461369943837,-2.500208245385137,-1.052395249059468,1.8755565985763714,1.5870840700667295,3.017035047869785,0.973019887838104,2.719214106345646,-2.487995289131324,-1.5374823196192327,-1.0028722648363293,1.1425714734766446
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
