baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
chgnet,crabnet_frontend,full,0,chgnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.053460362493523324,0.08293621580589965,0.9915004720927264,0.053460362493523324,0.08293621580589965,0.9915004720927264,0.0,0.0,0.0,0.6297414653623477,3.285894741247496,0.6297414653623477,3.285894741247496,0.0,0.0
chgnet,crabnet_frontend,full,0,chgnet-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05549915549886391,0.08445489698932306,0.9909645532378221,0.05549915549886391,0.08445489698932306,0.9909645532378221,0.0,0.0,0.0,0.6329803622683121,3.589859040042332,0.6329803622683121,3.589859040042332,0.0,0.0
chgnet,crabnet_frontend,full,0,chgnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05669504856438707,0.0886844618188366,0.9918073539900275,0.05669504856438707,0.0886844618188366,0.9918073539900275,0.0,0.0,0.0,0.6331759946055293,3.6989020929722987,0.6331759946055293,3.6989020929722987,0.0,0.0
chgnet,crabnet_frontend,full,0,chgnet-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05919293545845547,0.09143920651341483,0.9907039358187586,0.05919293545845547,0.09143920651341483,0.9907039358187586,0.0,0.0,0.0,0.6388753566706102,3.959845054789052,0.6388753566706102,3.959845054789052,0.0,0.0
chgnet,crabnet_frontend,full,1,chgnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05392520141700773,0.08377807244262395,0.991841520784672,0.05392520141700773,0.08377807244262395,0.991841520784672,0.0,0.0,0.0,0.6347191849220696,3.3469148270504094,0.6347191849220696,3.3469148270504094,0.0,0.0
chgnet,crabnet_frontend,full,1,chgnet-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.056157497864041055,0.08556932361942342,0.9911777039732861,0.056157497864041055,0.08556932361942342,0.9911777039732861,0.0,0.0,0.0,0.6375668733537293,3.6452833762006223,0.6375668733537293,3.6452833762006223,0.0,0.0
chgnet,crabnet_frontend,full,1,chgnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.054835710960030634,0.08546075771906415,0.9902191148769862,0.054835710960030634,0.08546075771906415,0.9902191148769862,0.0,0.0,0.0,0.6120758324040146,3.416286938710945,0.6120758324040146,3.416286938710945,0.0,0.0
chgnet,crabnet_frontend,full,1,chgnet-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05662636934665031,0.08731454819333023,0.9895598015931898,0.05662636934665031,0.08731454819333023,0.9895598015931898,0.0,0.0,0.0,0.6198618654864884,3.7175540073972817,0.6198618654864884,3.7175540073972817,0.0,0.0
chgnet,crabnet_frontend,full,2,chgnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.0540438067009855,0.08399763730635704,0.9918825300719701,0.0540438067009855,0.08399763730635704,0.9918825300719701,0.0,0.0,0.0,0.6318431057630777,3.309019440404453,0.6318431057630777,3.309019440404453,0.0,0.0
chgnet,crabnet_frontend,full,2,chgnet-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05609864088408265,0.08564233485365108,0.991221247581774,0.05609864088408265,0.08564233485365108,0.991221247581774,0.0,0.0,0.0,0.6359894290061664,3.5879799169928694,0.6359894290061664,3.5879799169928694,0.0,0.0
chgnet,crabnet_frontend,full,2,chgnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05436129443973975,0.08459427841224484,0.9899406906617465,0.05436129443973975,0.08459427841224484,0.9899406906617465,0.0,0.0,0.0,0.623910541029436,3.5850524498475203,0.623910541029436,3.5850524498475203,0.0,0.0
chgnet,crabnet_frontend,full,2,chgnet-baseline,test,unique_prototype,42451,0.0,,,,0,256963,205570,51393,chgnet-baseline,0.05687863907952109,0.08706796271122466,0.9893022529889549,0.05687863907952109,0.08706796271122466,0.9893022529889549,0.0,0.0,0.0,0.6253951915300345,3.981377241188355,0.6253951915300345,3.981377241188355,0.0,0.0
chgnet,crabnet_frontend,full,3,chgnet-baseline,train,all,205571,0.0,,,,0,256963,205571,51392,chgnet-baseline,0.054931449086581666,0.08587550768817755,0.9911978283230988,0.054931449086581666,0.08587550768817755,0.9911978283230988,0.0,0.0,0.0,0.6265373853061755,3.4123319073813,0.6265373853061755,3.4123319073813,0.0,0.0
