baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
chgnet,crabnet_frontend,full,mat2vec+S64,test,all,0.04805917994860678,0.001699981261990113,0.0732395376678338,0.0033350780928499977,0.993483645256798,0.0009316952957660612,-0.006048110900588309,0.0005297798159583259,-0.010784410853070563,0.0011465122347669894,0.002065557767572268,0.0003863149444303283,0.6255291156269042,0.016492030041770665,4.17032430493999,0.36991686638035365,-0.004311552620627079,0.013962100814994374,0.7905121201362333,0.09894289889569712,0.78,0.07582875444051554,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.04795799622438801,0.0006555192778052251,51392.6,0.547722557504917,1.0
chgnet,crabnet_frontend,full,mat2vec+H64,test,all,0.04807534136807808,0.001695494656371243,0.07480684502800464,0.005269127369837191,0.9932141165368167,0.0009654906062376794,-0.006031949481117005,0.0005339055132327548,-0.009217103492899729,0.00390578238996647,0.0017960290475908414,0.0008291698136863902,0.6252488053550971,0.01667776253140279,4.158599364656238,0.36592785535858074,-0.004591862892434251,0.01404423019753689,0.7787871798524819,0.09743285118819113,0.78,0.07582875444051554,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.047882541349313065,0.0007049396460822514,51392.6,0.547722557504917,2.0
chgnet,crabnet_frontend,full,mat2vec+S32,test,all,0.0481142765799623,0.001819252982878425,0.07377527913502355,0.003478406461069412,0.9933925019356289,0.0009072667343742905,-0.005993014269232782,0.0005192317460484539,-0.010248669385880824,0.001362983995317076,0.0019744144464030945,0.0004303488521189703,0.6262594645674222,0.018387477307460737,4.180001775411968,0.37642106286434607,-0.0035812036801091017,0.01488042723574595,0.800189590608212,0.11816502425189516,0.77,0.08366600265340758,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.04796148095302874,0.000627925244689409,51392.6,0.547722557504917,3.0
chgnet,crabnet_frontend,full,mat2vec+L32,test,all,0.04815925009468659,0.0017172168596874182,0.0749191663461474,0.004893554331121383,0.9931936156405404,0.0009410946961681206,-0.005948040754508492,0.0005694959102876684,-0.009104782174756956,0.0034311991671039685,0.0017755281513146316,0.0007473016688098517,0.6261138288799399,0.01576400441031739,4.213961308845166,0.38960971841708747,-0.00372683936759135,0.012699759126128588,0.8341491240414086,0.12759233368711995,0.78,0.07582875444051554,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.04797079227103952,0.0006504744617894837,51392.6,0.547722557504917,4.0
chgnet,crabnet_frontend,full,mat2vec,test,all,0.04816791000384696,0.0017259486783908352,0.07373961889593932,0.003388786498682452,0.9933946199152915,0.0009436098646553249,-0.0059393808453481285,0.0005399064995032718,-0.01028432962496505,0.0011774273792492665,0.001976532426065791,0.00038234214055357207,0.6263930034404578,0.015428375108371263,4.2032894087399955,0.3795134192067127,-0.0034476648070734806,0.012209866164776234,0.8234772239362392,0.11506873571794804,0.77,0.05700877125495691,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.04802785945968273,0.0006671814272262082,51392.6,0.547722557504917,5.0
chgnet,crabnet_frontend,full,mat2vec+L64,test,all,0.04818825649313952,0.0017286398034908653,0.07461014514006861,0.004281621639541602,0.9932459900388546,0.0009279406652659268,-0.005919034356055568,0.000500119276691301,-0.00941380338083576,0.002534269406032438,0.0018279025496287904,0.0005921944401385151,0.6279299357993035,0.01375862334053334,4.195128186158405,0.3792318871140848,-0.0019107324482278587,0.012695628136246048,0.8153160013546483,0.11459584982001655,0.76,0.07416198487095663,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.04806031501814502,0.0006236139109920257,51392.6,0.547722557504917,6.0
chgnet,crabnet_frontend,full,mat2vec+H32,test,all,0.04820987053573443,0.0017591326045744457,0.07991578158190535,0.015257553043511299,0.9921576528741836,0.0027595432896940887,-0.005897420313460658,0.0005277218534940418,-0.004108166938999019,0.014553156544995272,0.0007395653849577632,0.003006847377248427,0.6273527486198526,0.015684631353809254,4.191145760382237,0.37944575711440415,-0.002487919627678736,0.012818720741926103,0.8113335755784806,0.11504282034534333,0.78,0.07582875444051554,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.048010098556735915,0.000655039015298554,51392.6,0.547722557504917,7.0
chgnet,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.049462348471459416,0.001802598586267616,0.07620893422356405,0.0035730874412132534,0.9929407744959583,0.0010480704443883882,-0.004644942377735673,0.0005235372666225367,-0.007815014297340309,0.0008737951731019628,0.0015226870067325039,0.0002711764987222502,0.6245043183592904,0.015211426968013125,4.116477291847255,0.3365813902499084,-0.005336349888240855,0.014061059361307861,0.7366651070434983,0.07585649033774064,0.73,0.057008771254956916,100.0,0.0,100.0,0.0,0.04919529459896267,0.0008777953632251291,51392.6,0.547722557504917,8.0
chgnet,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.04947376032909458,0.0017913651501076722,0.0762932170042693,0.0035164474823022626,0.9929292052304637,0.0010096202803880098,-0.0046335305201005055,0.00042211110931213554,-0.0077307315166350535,0.0009887201562146968,0.0015111177412378885,0.00031003364588728574,0.6253653759246788,0.014634493430710846,4.004994360759157,0.3451156941122594,-0.004475292322852509,0.012445948284434212,0.6251821759554002,0.08056695643100156,0.7,0.07071067811865472,2.7298221281347037,0.9669999668731372,1.864911064067352,1.1843282500637113,0.049328958126236624,0.0008973296872114074,51392.6,0.547722557504917,9.0
chgnet,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.04968064799089617,0.0018209649612314731,0.07705896507772324,0.0036502686990962318,0.9927860084393061,0.001039816724695979,-0.004426642858298917,0.0004160752397714367,-0.006964983443181122,0.0008288752694936345,0.0013679209500803591,0.0002743548264574021,0.6265751265250998,0.013894495015653435,4.0036631938972445,0.3384118728742663,-0.003265541722431475,0.012266625715667102,0.6238510090934881,0.07667505344415229,0.7,0.07071067811865472,0.31622776601683794,0.0,0.31622776601683794,0.0,0.049501182392401366,0.0009032331076384469,51392.6,0.547722557504917,10.0
chgnet,crabnet_frontend,full,MDS_F_32_cos_zscore,test,all,0.050178862771106184,0.001946514307950602,0.07850043211664448,0.0039008409695046923,0.9925126218243292,0.0010976722053012177,-0.003928428078088908,0.0004240388192412176,-0.005523516404259879,0.0005480379940608745,0.0010945343351035143,0.00020959289145651915,0.6263311716859495,0.012515852126928894,4.072083875585809,0.3535735171034695,-0.0035094965615818153,0.010873538191130131,0.6922716907820528,0.09240272776469143,0.76,0.06519202405202651,31.62277660168379,0.0,31.62277660168379,0.0,0.049883524079692126,0.0010084682114724739,51392.6,0.547722557504917,11.0
