baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
chgnet,crabnet_frontend,full,0,MDS_32_cos_zscore,test,all,51393,0.8,31.622776601683796,100.0,0.0507356287850096,0,256963,205570,51393,chgnet-baseline,0.0526581361981036,0.0824644490937583,0.992916259479844,0.056695048564387,0.0886844618188366,0.9918073539900276,-0.0040369123662834,-0.0062200127250782,0.0011089054898163,0.6197049024274156,4.359947639203094,0.6331759946055293,3.698902092972298,-0.0134710921781137,0.6610455462307954
chgnet,crabnet_frontend,full,1,MDS_32_cos_zscore,test,all,51393,0.7,100.0,31.622776601683796,0.0488868397297441,0,256963,205570,51393,chgnet-baseline,0.0504339554796358,0.0796285617030033,0.9915085389350984,0.0548357109600306,0.0854607577190641,0.9902191148769862,-0.0044017554803948,-0.0058321960160607,0.001289424058112,0.6247349823321555,4.129287763502557,0.6120758324040146,3.416286938710945,0.0126591499281408,0.713000824791612
chgnet,crabnet_frontend,full,2,MDS_32_cos_zscore,test,all,51393,0.85,31.622776601683796,31.622776601683796,0.0505988927642604,0,256963,205570,51393,chgnet-baseline,0.050878239508071,0.0789850170962165,0.9912304841775178,0.0543612944397397,0.0845942784122448,0.9899406906617464,-0.0034830549316686,-0.0056092613160282,0.0012897935157712,0.6083270663840842,4.297842359516698,0.623910541029436,3.5850524498475203,-0.0155834746453518,0.7127899096691781
chgnet,crabnet_frontend,full,3,MDS_32_cos_zscore,test,all,51392,0.7,31.622776601683796,31.622776601683796,0.0489405694772506,0,256963,205571,51392,chgnet-baseline,0.047412306282454,0.0721286516543652,0.9938277547702232,0.0508106792591347,0.0766823075109671,0.9930238165670646,-0.0033983729766806,-0.0045536558566019,0.0008039382031587,0.6388103584756305,3.7325545430181473,0.6443022980336413,3.1699087841858358,-0.0054919395580107,0.5626457588323119
chgnet,crabnet_frontend,full,4,MDS_32_cos_zscore,test,all,51392,0.75,31.622776601683796,31.622776601683796,0.0506317793442566,0,256963,205571,51392,chgnet-baseline,0.0495406169481105,0.0789530729141661,0.9931348645324224,0.0538337210226831,0.084697937143409,0.992099461350304,-0.0042931040745726,-0.0057448642292429,0.0010354031821184,0.644185793538562,3.605669108646543,0.6357386751650353,3.0289106583021828,0.0084471183735266,0.5767584503443599
chgnet,crabnet_frontend,full,0,MDS_64_cos_zscore,test,all,51393,0.75,3.1622776601683795,3.1622776601683795,0.0500226749865579,0,256963,205570,51393,chgnet-baseline,0.0517216316046887,0.079825834188201,0.9933623239684228,0.056695048564387,0.0886844618188366,0.9918073539900276,-0.0049734169596983,-0.0088586276306355,0.0015549699783952,0.6168782673637043,4.332442920025687,0.6331759946055293,3.698902092972298,-0.0162977272418249,0.6335408270533884
chgnet,crabnet_frontend,full,1,MDS_64_cos_zscore,test,all,51393,0.65,3.1622776601683795,1.0,0.0484011407806574,0,256963,205570,51393,chgnet-baseline,0.0497648945784103,0.0771379914815473,0.9920314127349582,0.0548357109600306,0.0854607577190641,0.9902191148769862,-0.0050708163816203,-0.0083227662375167,0.0018122978579719,0.6225625844648948,4.122254915165152,0.6120758324040146,3.416286938710945,0.0104867520608801,0.7059679764542066
chgnet,crabnet_frontend,full,2,MDS_64_cos_zscore,test,all,51393,0.8,3.1622776601683795,3.1622776601683795,0.0497612686541123,0,256963,205570,51393,chgnet-baseline,0.0499710472752731,0.0767041551397783,0.9917296485658595,0.0543612944397397,0.0845942784122448,0.9899406906617464,-0.0043902471644665,-0.0078901232724665,0.0017889579041131,0.6070453304205352,4.281678537071741,0.623910541029436,3.5850524498475203,-0.0168652106089007,0.6966260872242209
chgnet,crabnet_frontend,full,3,MDS_64_cos_zscore,test,all,51392,0.65,1.0,1.0,0.0483154740374336,0,256963,205571,51392,chgnet-baseline,0.0467636741434099,0.0703893753241249,0.9941218350705934,0.0508106792591347,0.0766823075109671,0.9930238165670646,-0.0040470051157248,-0.0062929321868421,0.0010980185035287,0.6389895786135025,3.740963376332998,0.6443022980336413,3.1699087841858358,-0.0053127194201387,0.5710545921471626
chgnet,crabnet_frontend,full,4,MDS_64_cos_zscore,test,all,51392,0.65,3.1622776601683795,1.0,0.0501442321724217,0,256963,205571,51392,chgnet-baseline,0.0491475540436906,0.0774087288876948,0.9934008058124844,0.0538337210226831,0.084697937143409,0.992099461350304,-0.0046861669789925,-0.0072892082557142,0.0013013444621803,0.6413511187607572,3.547632055200205,0.6357386751650353,3.0289106583021828,0.0056124435957218,0.5187213968980222
