baseline_model,residual_route,representation,raw_dimension,projected_dimension,projection_kind,explained_variance_ratio_sum,projector_is_trained,projector_scope,frontend
chgnet,crabnet_frontend,MDS_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,MDS_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,MDS_E_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,MDS_E_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,MDS_F_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,MDS_F_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec,200,200,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+H32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+H64,264,264,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+L32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+L64,264,264,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+S32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
chgnet,crabnet_frontend,mat2vec+S64,264,264,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_E_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_E_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_F_32_cos_zscore,32,32,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,MDS_F_64_cos_zscore,64,64,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec,200,200,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec+H32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec+H64,264,264,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec+L32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec+L64,264,264,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
m3gnet,crabnet_frontend,mat2vec+S32,232,232,precomputed_embedding_no_projection,1.0,False,embedding_table,crabnet_src_frac_linear_pooling_all_embeddings_no_projection
