baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
m3gnet,crabnet_frontend,full,0,m3gnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06341586650298198,0.09909675069525377,0.9878654073459394,0.06341586650298198,0.09909675069525377,0.9878654073459394,0.0,0.0,0.0,0.5996547872880496,2.9137514329046703,0.5996547872880496,2.9137514329046703,0.0,0.0
m3gnet,crabnet_frontend,full,0,m3gnet-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06643139082801544,0.10132910608549174,0.9869932623348122,0.06643139082801544,0.10132910608549174,0.9869932623348122,0.0,0.0,0.0,0.5973920248877,3.141516218699146,0.5973920248877,3.141516218699146,0.0,0.0
m3gnet,crabnet_frontend,full,0,m3gnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06717053215196225,0.10385610418923473,0.9887644800453662,0.06717053215196225,0.10385610418923473,0.9887644800453662,0.0,0.0,0.0,0.5950478445299399,3.163790566806128,0.5950478445299399,3.163790566806128,0.0,0.0
m3gnet,crabnet_frontend,full,0,m3gnet-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.07053476217786898,0.10712400356179691,0.987241259435739,0.07053476217786898,0.10712400356179691,0.987241259435739,0.0,0.0,0.0,0.5926107169072669,3.351375514394301,0.5926107169072669,3.351375514394301,0.0,0.0
m3gnet,crabnet_frontend,full,1,m3gnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.0640461585101086,0.09970676018762101,0.9884442618272855,0.0640461585101086,0.09970676018762101,0.9884442618272855,0.0,0.0,0.0,0.6024142816661944,2.9380426958369252,0.6024142816661944,2.9380426958369252,0.0,0.0
m3gnet,crabnet_frontend,full,1,m3gnet-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06717665148980916,0.10214397666548901,0.987428967433459,0.06717665148980916,0.10214397666548901,0.987428967433459,0.0,0.0,0.0,0.5997961264016309,3.1602717140480094,0.5997961264016309,3.1602717140480094,0.0,0.0
m3gnet,crabnet_frontend,full,1,m3gnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.064649388651777,0.10149387657265796,0.9862049156123707,0.064649388651777,0.10149387657265796,0.9862049156123707,0.0,0.0,0.0,0.583373610439826,3.0527407626189595,0.583373610439826,3.0527407626189595,0.0,0.0
m3gnet,crabnet_frontend,full,1,m3gnet-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06762868494195318,0.1040744862893567,0.9851671678677377,0.06762868494195318,0.1040744862893567,0.9851671678677377,0.0,0.0,0.0,0.5826197850245947,3.270830287547532,0.5826197850245947,3.270830287547532,0.0,0.0
m3gnet,crabnet_frontend,full,2,m3gnet-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06391987507748408,0.09966755845921876,0.9885713696299377,0.06391987507748408,0.09966755845921876,0.9885713696299377,0.0,0.0,0.0,0.6015865123847405,2.9232450778547956,0.6015865123847405,2.9232450778547956,0.0,0.0
m3gnet,crabnet_frontend,full,2,m3gnet-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.06687278217852499,0.1019031329683331,0.9875711520198442,0.06687278217852499,0.1019031329683331,0.9875711520198442,0.0,0.0,0.0,0.5990194110732002,3.1278680104383603,0.5990194110732002,3.1278680104383603,0.0,0.0
m3gnet,crabnet_frontend,full,2,m3gnet-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.0651545174678536,0.1016477739507708,0.9854761442321618,0.0651545174678536,0.1016477739507708,0.9854761442321618,0.0,0.0,0.0,0.5867084578089036,3.120191040252304,0.5867084578089036,3.120191040252304,0.0,0.0
m3gnet,crabnet_frontend,full,2,m3gnet-baseline,test,unique_prototype,42451,0.0,,,,0,256963,205570,51393,m3gnet-baseline,0.068879219898718,0.10508239262344675,0.9844175600000009,0.068879219898718,0.10508239262344675,0.9844175600000009,0.0,0.0,0.0,0.5849314177988689,3.4242158354652767,0.5849314177988689,3.4242158354652767,0.0,0.0
m3gnet,crabnet_frontend,full,3,m3gnet-baseline,train,all,205571,0.0,,,,0,256963,205571,51392,m3gnet-baseline,0.06522544817091286,0.1016385271051921,0.9876698623409124,0.06522544817091286,0.1016385271051921,0.9876698623409124,0.0,0.0,0.0,0.5949232406140751,3.0060509346784308,0.5949232406140751,3.0060509346784308,0.0,0.0
m3gnet,crabnet_frontend,full,3,m3gnet-baseline,train,unique_prototype,171977,0.0,,,,0,256963,205571,51392,m3gnet-baseline,0.06846743752036695,0.10409890606114572,0.9865717838263528,0.06846743752036695,0.10409890606114572,0.9865717838263528,0.0,0.0,0.0,0.5917189988281603,3.2321150042804625,0.5917189988281603,3.2321150042804625,0.0,0.0
