baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
m3gnet,crabnet_frontend,full,mat2vec+H64,test,all,0.05664131174971354,0.0021902263077533237,0.09604366420682589,0.019522694644916325,0.9886381138639564,0.004330069223426556,-0.007525476316388303,0.0005255593239679279,-0.003960967714998367,0.019604382744800412,0.0008051280495651181,0.004873662436711867,0.6028550279281174,0.01649111429999034,3.7896938985953303,0.2708104781551872,0.0049035921060061275,0.007623776708768427,0.8185352843302164,0.08066283786501396,0.71,0.05477225575051661,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.05674779952013934,0.0010375639923073995,51392.6,0.547722557504917,1.0
m3gnet,crabnet_frontend,full,mat2vec+S64,test,all,0.05665948594298803,0.0021938938238404574,0.0973692530291662,0.022350096667466065,0.9882507824939688,0.005142598669981909,-0.0075073021231138164,0.000513153607021611,-0.002635378892658055,0.02245572371332567,0.0004177966795775534,0.005713336602058027,0.6031948101944338,0.01638999076721588,3.7941527671305195,0.2715038574866237,0.005243374372322518,0.007493490866619905,0.8229941528654059,0.08069320815084892,0.71,0.05477225575051661,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.056647410227167946,0.001087851712794425,51392.6,0.547722557504917,2.0
m3gnet,crabnet_frontend,full,mat2vec+H32,test,all,0.056669063651950534,0.0022321404173152866,0.08848950592401301,0.0036024690922027676,0.9904959820497267,0.0012524334844815344,-0.007497724414151305,0.0005650098460992809,-0.011515125997811243,0.0026245073264354706,0.0026629962353353466,0.0008038796569797713,0.6030287277438856,0.018008567963772957,3.8038537652793094,0.2828258970632059,0.005077291921774307,0.009084608147649033,0.8326951510141962,0.09854535225639459,0.72,0.0570087712549569,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.05672020615413879,0.0011026648399155117,51392.6,0.547722557504917,3.0
m3gnet,crabnet_frontend,full,mat2vec+S32,test,all,0.05671642417285725,0.0022010932061206213,0.09767669253021519,0.022840313646965177,0.988164783504258,0.005290226667915564,-0.007450363893244591,0.0005464864267673699,-0.0023279393916090713,0.022955321982635835,0.00033179768986668634,0.005868478884087183,0.6020133698494512,0.019500234808933654,3.8014283066451724,0.2724744178094124,0.004061934027339875,0.00928117217509456,0.8302696923800585,0.08513601035044809,0.72,0.0570087712549569,663.2455534033676,474.48042094835256,326.4911068067352,408.3557841761781,0.05668524642375048,0.0011074606484711418,51392.6,0.547722557504917,4.0
m3gnet,crabnet_frontend,full,mat2vec+L64,test,all,0.05675306927165604,0.002175189312544225,0.10012063813228522,0.028174458284110578,0.9873916486874095,0.006962254544878032,-0.007413718794445799,0.0005499323339518613,0.00011600621046095327,0.028321631532664454,-0.0004413371269819777,0.007571645351213967,0.6012426673287221,0.018901518807204153,3.805555731072959,0.27260970534891177,0.00329123150661077,0.00835382728870759,0.834397116807845,0.08961926508099491,0.72,0.0570087712549569,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.05671870081834619,0.0011290814559652242,51392.6,0.547722557504917,5.0
m3gnet,crabnet_frontend,full,mat2vec+L32,test,all,0.05677401082806126,0.002198945483949404,0.09341598321202813,0.012859375428547998,0.9893679962643865,0.002639158846419604,-0.007392777238040579,0.000545867075516316,-0.00658864870979613,0.012833896587920626,0.0015350104499952221,0.0030544264413648508,0.6023655579582898,0.018287320949404724,3.8001219384175817,0.276418598506572,0.004414122136178511,0.01013231036838099,0.8289633241524683,0.09101134781020678,0.71,0.05477225575051661,800.0000001999999,447.2135950527443,600.0000004000001,547.7225569574435,0.056797693198660994,0.0010866145836904238,51392.6,0.547722557504917,6.0
m3gnet,crabnet_frontend,full,mat2vec,test,all,0.05679488280598982,0.0021914598777569056,0.0913648773586316,0.008344286932463375,0.9898683107792363,0.0017283326417502122,-0.007371905260112018,0.0005735379915668305,-0.008639754563192669,0.00815083269040458,0.0020353249648450422,0.0019292179916669985,0.601184826034628,0.018776152670432363,3.790171945747422,0.2748535319214203,0.0032333902125166515,0.010222656833991652,0.8190133314823083,0.08617722128670642,0.71,0.05477225575051661,252.98221301347039,141.42135579009593,189.73666001010278,173.20508020916517,0.056828718685362344,0.001094404690728353,51392.6,0.547722557504917,7.0
m3gnet,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.05802614815403266,0.002355376113154958,0.09011992217534273,0.0032474340920388236,0.9901233209229462,0.0014627853383415255,-0.006140639912069182,0.0004656132098596049,-0.009884709746481521,0.0007060601431689662,0.0022903351085548753,0.0004034021090322145,0.5953595139294252,0.018607928640819036,3.740609052714428,0.2766742470424496,-0.0025919218926860666,0.01115850302967899,0.7694504384493139,0.10425879178115033,0.6900000000000001,0.06519202405202647,100.0,0.0,100.0,0.0,0.05788563633700359,0.0012523448362606012,51392.6,0.547722557504917,8.0
m3gnet,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.05816613161070844,0.0022660748238268625,0.09032212480362342,0.0031416934133680673,0.9900766487585948,0.001484116076392305,-0.006000656455393408,0.0005227575704157563,-0.009682507118200845,0.0008154389508792467,0.002243662944203395,0.0003890547471763048,0.5954087181269831,0.019699671199592737,3.685910279545876,0.24742194206456444,-0.0025427176951281936,0.010324528015188244,0.7147516652807624,0.0642428373765872,0.7,0.061237243569579436,3.1622776601683795,0.0,3.1622776601683795,0.0,0.058077437148303344,0.001274023097057644,51392.6,0.547722557504917,9.0
m3gnet,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.058363650697803846,0.0022857327702246184,0.09099444023754219,0.0033116089991730375,0.9899248502247862,0.001544275517965548,-0.0058031373682980005,0.0004789758200499408,-0.009010191684282057,0.0006697098649037235,0.002091864410394817,0.0003273280383622226,0.5968438192286418,0.011479210152232647,3.680008985493722,0.2821155896904117,-0.0011076165934694293,0.0062143398387209696,0.7088503712286078,0.09573140314806639,0.6900000000000001,0.04183300132670374,1.0,0.0,0.8632455532033676,0.30579223926264837,0.05829957165143755,0.0013048740170714744,51392.6,0.547722557504917,10.0
m3gnet,crabnet_frontend,full,MDS_32_cos_zscore,test,all,0.058807123571539,0.0024378673242842234,0.09227181519786173,0.0034590454013881107,0.9896386946455322,0.0016032514332183858,-0.0053596644945628465,0.00044937409340622443,-0.007732816723962516,0.0005814922839712561,0.001805708831140973,0.00027199572643719835,0.5982084684903995,0.01817411459226571,3.6618962126470427,0.2576817410051074,0.00025703266828824844,0.008416002405226174,0.690737598381929,0.07418176933504785,0.7,0.061237243569579436,100.0,0.0,100.0,0.0,0.058522354611298136,0.001332038711026716,51392.6,0.547722557504917,11.0
m3gnet,crabnet_frontend,full,MDS_F_32_cos_zscore,test,all,0.058914015169225634,0.0023604153499559555,0.09261464824461249,0.0035014323086710116,0.9895629602481405,0.0016045580374885542,-0.005252772896876206,0.00036482418062275956,-0.0073899836772117755,0.0004910643115074532,0.0017299744337491373,0.00026523996105359593,0.5957078735106904,0.012445236430294635,3.65886894687763,0.28679015277870346,-0.00224356231142091,0.008373793655591004,0.687710332612516,0.09807458310122535,0.6900000000000001,0.04183300132670374,31.62277660168379,0.0,31.62277660168379,0.0,0.058723775248033926,0.0014579100909104827,51392.6,0.547722557504917,12.0
