baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
mace-mpa-0,crabnet_frontend,full,0,mace-mpa-0-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.019216769090251152,0.0429967947322312,0.9977155664162328,0.019216769090251152,0.0429967947322312,0.9977155664162328,0.0,0.0,0.0,0.8592627281108687,5.172148142566805,0.8592627281108687,5.172148142566805,0.0,0.0
mace-mpa-0,crabnet_frontend,full,0,mace-mpa-0-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.01974985494814819,0.041537109075224746,0.9978143908902616,0.01974985494814819,0.041537109075224746,0.9978143908902616,0.0,0.0,0.0,0.8746650214964623,5.789380980568302,0.8746650214964623,5.789380980568302,0.0,0.0
mace-mpa-0,crabnet_frontend,full,0,mace-mpa-0-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.02066872024136804,0.04584990398669798,0.9978101922847535,0.02066872024136804,0.04584990398669798,0.9978101922847535,0.0,0.0,0.0,0.8517665130568357,5.605337938737744,0.8517665130568357,5.605337938737744,0.0,0.0
mace-mpa-0,crabnet_frontend,full,0,mace-mpa-0-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.021297574003648373,0.04615476788117153,0.9976315328888526,0.021297574003648373,0.04615476788117153,0.9976315328888526,0.0,0.0,0.0,0.8694879664028428,6.1750152376200615,0.8694879664028428,6.1750152376200615,0.0,0.0
mace-mpa-0,crabnet_frontend,full,1,mace-mpa-0-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.019595247144966122,0.04376629801923782,0.9977734722608429,0.019595247144966122,0.04376629801923782,0.9977734722608429,0.0,0.0,0.0,0.8587994143484627,5.171565513176814,0.8587994143484627,5.171565513176814,0.0,0.0
mace-mpa-0,crabnet_frontend,full,1,mace-mpa-0-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.020193130592634917,0.04251106983353369,0.9978225434531343,0.020193130592634917,0.04251106983353369,0.9978225434531343,0.0,0.0,0.0,0.8748224636290354,5.776581989741389,0.8748224636290354,5.776581989741389,0.0,0.0
mace-mpa-0,crabnet_frontend,full,1,mace-mpa-0-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.019154822751286594,0.042838748272220645,0.9975423602375495,0.019154822751286594,0.042838748272220645,0.9975423602375495,0.0,0.0,0.0,0.8538034106150604,5.608350775544377,0.8538034106150604,5.608350775544377,0.0,0.0
mace-mpa-0,crabnet_frontend,full,1,mace-mpa-0-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.019561538902535206,0.04255199943089568,0.9975204351402042,0.019561538902535206,0.04255199943089568,0.9975204351402042,0.0,0.0,0.0,0.8687134743600297,6.23681912225787,0.8687134743600297,6.23681912225787,0.0,0.0
mace-mpa-0,crabnet_frontend,full,2,mace-mpa-0-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.019517349910941326,0.04326715190608121,0.997846210951062,0.019517349910941326,0.04326715190608121,0.997846210951062,0.0,0.0,0.0,0.8598100850387269,5.158462942273946,0.8598100850387269,5.158462942273946,0.0,0.0
mace-mpa-0,crabnet_frontend,full,2,mace-mpa-0-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,mace-mpa-0-baseline,0.02002687803928593,0.04202082598881849,0.9978865840869215,0.02002687803928593,0.04202082598881849,0.9978865840869215,0.0,0.0,0.0,0.8760308693349474,5.7380330880410275,0.8760308693349474,5.7380330880410275,0.0,0.0
