baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
chgnet,mat2vec+S64,all,0.0480591799486067,chgnet-baseline,0.054107290849195,11.177996173279638
chgnet,mat2vec+H64,all,0.048075341368078,chgnet-baseline,0.054107290849195,11.148126964864929
chgnet,mat2vec+S32,all,0.0481142765799623,chgnet-baseline,0.054107290849195,11.07616769417659
chgnet,mat2vec+L32,all,0.0481592500946865,chgnet-baseline,0.054107290849195,10.993048554374244
chgnet,mat2vec,all,0.0481679100038469,chgnet-baseline,0.054107290849195,10.97704348551109
chgnet,mat2vec+L64,all,0.0481882564931395,chgnet-baseline,0.054107290849195,10.939439515744233
chgnet,mat2vec+H32,all,0.0482098705357344,chgnet-baseline,0.054107290849195,10.89949287961502
chgnet,MDS_E_64_cos_zscore,all,0.0494623484714594,chgnet-baseline,0.054107290849195,8.584688504700297
chgnet,MDS_64_cos_zscore,all,0.0494737603290945,chgnet-baseline,0.054107290849195,8.563597340356283
chgnet,MDS_F_64_cos_zscore,all,0.0496806479908961,chgnet-baseline,0.054107290849195,8.18123175051696
chgnet,MDS_F_32_cos_zscore,all,0.0501788627711061,chgnet-baseline,0.054107290849195,7.2604412759049595
chgnet,MDS_32_cos_zscore,all,0.050184650883275,chgnet-baseline,0.054107290849195,7.2497438041260995
chgnet,MDS_E_32_cos_zscore,all,0.050360616982571,chgnet-baseline,0.054107290849195,6.924526820362405
chgnet,chgnet-baseline,all,0.054107290849195,chgnet-baseline,0.054107290849195,0.0
