baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
mace-mpa-0,mat2vec+S64,all,0.019489671478556,mace-mpa-0-baseline,0.019507158590037,0.08964458560320206
mace-mpa-0,mat2vec+H64,all,0.0194902637569351,mace-mpa-0-baseline,0.019507158590037,0.08660837519683004
mace-mpa-0,mat2vec+L64,all,0.0194913286300947,mace-mpa-0-baseline,0.019507158590037,0.08114949119438974
mace-mpa-0,mat2vec+L32,all,0.0194914586138559,mace-mpa-0-baseline,0.019507158590037,0.0804831524213745
mace-mpa-0,mat2vec+H32,all,0.0194924478449933,mace-mpa-0-baseline,0.019507158590037,0.07541203387361237
mace-mpa-0,mat2vec+S32,all,0.019492776420932,mace-mpa-0-baseline,0.019507158590037,0.07372764741013145
mace-mpa-0,mat2vec,all,0.0194939179110121,mace-mpa-0-baseline,0.019507158590037,0.06787600030925295
mace-mpa-0,MDS_F_64_cos_zscore,all,0.0195009264204696,mace-mpa-0-baseline,0.019507158590037,0.031948115552734344
mace-mpa-0,MDS_64_cos_zscore,all,0.0195021206050863,mace-mpa-0-baseline,0.019507158590037,0.025826339225402836
mace-mpa-0,MDS_E_64_cos_zscore,all,0.0195037346026978,mace-mpa-0-baseline,0.019507158590037,0.017552465795544724
mace-mpa-0,MDS_F_32_cos_zscore,all,0.0195058195528647,mace-mpa-0-baseline,0.019507158590037,0.006864337346308148
mace-mpa-0,mace-mpa-0-baseline,all,0.019507158590037,mace-mpa-0-baseline,0.019507158590037,0.0
mace-mpa-0,MDS_32_cos_zscore,all,0.0195081811524004,mace-mpa-0-baseline,0.019507158590037,-0.005241985185502418
mace-mpa-0,MDS_E_32_cos_zscore,all,0.0195081883792816,mace-mpa-0-baseline,0.019507158590037,-0.005279032514380611
mace-mpa-0,mat2vec+S64,unique_prototype,0.0200504595181517,mace-mpa-0-baseline,0.0200633664286489,0.06433073204889445
mace-mpa-0,mat2vec+H64,unique_prototype,0.0200509730856785,mace-mpa-0-baseline,0.0200633664286489,0.0617710044546901
mace-mpa-0,mat2vec+L64,unique_prototype,0.0200516674137554,mace-mpa-0-baseline,0.0200633664286489,0.05831032860365243
mace-mpa-0,mat2vec+L32,unique_prototype,0.0200520074519486,mace-mpa-0-baseline,0.0200633664286489,0.05661550737607166
mace-mpa-0,mat2vec+S32,unique_prototype,0.0200524950855153,mace-mpa-0-baseline,0.0200633664286489,0.0541850400443122
mace-mpa-0,mat2vec+H32,unique_prototype,0.0200526897714877,mace-mpa-0-baseline,0.0200633664286489,0.05321468458033127
mace-mpa-0,mat2vec,unique_prototype,0.02005417064733,mace-mpa-0-baseline,0.0200633664286489,0.045833690729842454
mace-mpa-0,MDS_F_64_cos_zscore,unique_prototype,0.0200610849606655,mace-mpa-0-baseline,0.0200633664286489,0.011371311945656765
mace-mpa-0,MDS_64_cos_zscore,unique_prototype,0.0200621490552842,mace-mpa-0-baseline,0.0200633664286489,0.006067642581472407
mace-mpa-0,mace-mpa-0-baseline,unique_prototype,0.0200633664286489,mace-mpa-0-baseline,0.0200633664286489,0.0
mace-mpa-0,MDS_F_32_cos_zscore,unique_prototype,0.0200634811666807,mace-mpa-0-baseline,0.0200633664286489,-0.0005718782648433209
mace-mpa-0,MDS_E_64_cos_zscore,unique_prototype,0.0200634925020659,mace-mpa-0-baseline,0.0200633664286489,-0.000628376187264469
mace-mpa-0,MDS_32_cos_zscore,unique_prototype,0.0200649967886387,mace-mpa-0-baseline,0.0200633664286489,-0.008126053997961305
mace-mpa-0,MDS_E_32_cos_zscore,unique_prototype,0.0200653963820346,mace-mpa-0-baseline,0.0200633664286489,-0.010117710768628779
