baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
mattersim-v1-5m,mat2vec+S64,all,0.0163051281007429,mattersim-v1-5m-baseline,0.0164270880006984,0.7424316467429604
mattersim-v1-5m,mat2vec+H64,all,0.0163070443608795,mattersim-v1-5m-baseline,0.0164270880006984,0.7307664012866785
mattersim-v1-5m,MDS_F_64_cos_zscore,all,0.0163076779593553,mattersim-v1-5m-baseline,0.0164270880006984,0.7269093666389485
mattersim-v1-5m,mat2vec+S32,all,0.0163113628330822,mattersim-v1-5m-baseline,0.0164270880006984,0.7044776749919351
mattersim-v1-5m,mat2vec+H32,all,0.0163130503062035,mattersim-v1-5m-baseline,0.0164270880006984,0.6942051719090543
mattersim-v1-5m,mat2vec+L64,all,0.0163140419329098,mattersim-v1-5m-baseline,0.0164270880006984,0.6881686381895169
mattersim-v1-5m,mat2vec+L32,all,0.0163164901958139,mattersim-v1-5m-baseline,0.0164270880006984,0.673264822589358
mattersim-v1-5m,mat2vec,all,0.0163204690545734,mattersim-v1-5m-baseline,0.0164270880006984,0.6490434952346249
mattersim-v1-5m,MDS_64_cos_zscore,all,0.0163278944076338,mattersim-v1-5m-baseline,0.0164270880006984,0.6038416124658315
mattersim-v1-5m,MDS_E_64_cos_zscore,all,0.016332957048015,mattersim-v1-5m-baseline,0.0164270880006984,0.5730227577729952
mattersim-v1-5m,MDS_32_cos_zscore,all,0.0163416577284913,mattersim-v1-5m-baseline,0.0164270880006984,0.5200573114569422
mattersim-v1-5m,MDS_F_32_cos_zscore,all,0.0163498298528954,mattersim-v1-5m-baseline,0.0164270880006984,0.47030945350578607
mattersim-v1-5m,MDS_E_32_cos_zscore,all,0.0163755668069431,mattersim-v1-5m-baseline,0.0164270880006984,0.31363558625307414
mattersim-v1-5m,mattersim-v1-5m-baseline,all,0.0164270880006984,mattersim-v1-5m-baseline,0.0164270880006984,0.0
