baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
orb-v3,orb-v3-baseline,all,0.0114256982632273,orb-v3-baseline,0.0114256982632273,0.0
orb-v3,MDS_E_32_cos_zscore,all,0.0114283207326048,orb-v3-baseline,0.0114256982632273,-0.022952377325940927
orb-v3,mat2vec+S64,all,0.0114285158799119,orb-v3-baseline,0.0114256982632273,-0.024660345649665353
orb-v3,mat2vec+H64,all,0.0114286042201796,orb-v3-baseline,0.0114256982632273,-0.025433517368931458
orb-v3,MDS_64_cos_zscore,all,0.0114287367207209,orb-v3-baseline,0.0114256982632273,-0.026593188648941828
orb-v3,MDS_F_64_cos_zscore,all,0.0114287698186649,orb-v3-baseline,0.0114256982632273,-0.02688286848502356
orb-v3,mat2vec+L64,all,0.0114288654845914,orb-v3-baseline,0.0114256982632273,-0.027720155837586538
orb-v3,MDS_F_32_cos_zscore,all,0.011429011829146,orb-v3-baseline,0.0114256982632273,-0.029000992695239317
orb-v3,MDS_32_cos_zscore,all,0.0114291196362876,orb-v3-baseline,0.0114256982632273,-0.029944542394499094
orb-v3,mat2vec+L32,all,0.0114292454365566,orb-v3-baseline,0.0114256982632273,-0.031045571549134142
orb-v3,mat2vec,all,0.0114293099764512,orb-v3-baseline,0.0114256982632273,-0.03161043763533421
orb-v3,mat2vec+H32,all,0.0114293325705643,orb-v3-baseline,0.0114256982632273,-0.0318081858392429
orb-v3,mat2vec+S32,all,0.0114294222697114,orb-v3-baseline,0.0114256982632273,-0.03259325074324098
orb-v3,MDS_E_64_cos_zscore,all,0.0114301390128468,orb-v3-baseline,0.0114256982632273,-0.0388663302425201
