baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
mattersim-v1-5m,crabnet_frontend,full,0,mattersim-v1-5m-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016451740039313364,0.043324609886938405,0.9976805997765407,0.016451740039313364,0.043324609886938405,0.9976805997765407,0.0,0.0,0.0,0.8575560155869459,5.387247764430147,0.8575560155869459,5.387247764430147,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,0,mattersim-v1-5m-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016437795783463823,0.04052264265113094,0.9979198460501828,0.016437795783463823,0.04052264265113094,0.9979198460501828,0.0,0.0,0.0,0.8773742350790749,5.999993964913958,0.8773742350790749,5.999993964913958,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,0,mattersim-v1-5m-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016328494292458334,0.04376482273169196,0.9980048320128144,0.016328494292458334,0.04376482273169196,0.9980048320128144,0.0,0.0,0.0,0.8587622750939168,5.831021912530438,0.8587622750939168,5.831021912530438,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,0,mattersim-v1-5m-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016400041709446013,0.043246408059306136,0.9979206179062428,0.016400041709446013,0.043246408059306136,0.9979206179062428,0.0,0.0,0.0,0.8801321767864518,6.405155789689734,0.8801321767864518,6.405155789689734,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,1,mattersim-v1-5m-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016274256317941185,0.04259536781460774,0.9978910162710773,0.016274256317941185,0.04259536781460774,0.9978910162710773,0.0,0.0,0.0,0.8598272695536026,5.382996705245075,0.8598272695536026,5.382996705245075,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,1,mattersim-v1-5m-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.01630695027549428,0.04030272114263719,0.9980428948164672,0.01630695027549428,0.04030272114263719,0.9980428948164672,0.0,0.0,0.0,0.879643153199384,5.9864956919614425,0.879643153199384,5.9864956919614425,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,1,mattersim-v1-5m-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.017038422271025058,0.04654012377276647,0.997099320485235,0.017038422271025058,0.04654012377276647,0.997099320485235,0.0,0.0,0.0,0.8487922060589883,5.8503080867061925,0.8487922060589883,5.8503080867061925,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,1,mattersim-v1-5m-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.01691601238408322,0.04407165794485906,0.9973401673836988,0.01691601238408322,0.04407165794485906,0.9973401673836988,0.0,0.0,0.0,0.8704443122929233,6.470183728905729,0.8704443122929233,6.470183728905729,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,2,mattersim-v1-5m-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016381993453521763,0.04346083685998273,0.9978268849629777,0.016381993453521763,0.04346083685998273,0.9978268849629777,0.0,0.0,0.0,0.8587893638261185,5.358570836083293,0.8587893638261185,5.358570836083293,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,2,mattersim-v1-5m-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016357255540841862,0.041009063866634776,0.9979871309860734,0.016357255540841862,0.041009063866634776,0.9979871309860734,0.0,0.0,0.0,0.8791272896978183,5.9331494323108815,0.8791272896978183,5.9331494323108815,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,2,mattersim-v1-5m-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016607477921380166,0.04322117645276137,0.997374092939651,0.016607477921380166,0.04322117645276137,0.997374092939651,0.0,0.0,0.0,0.8532700779396815,5.968412086118537,0.8532700779396815,5.968412086118537,0.0,0.0
mattersim-v1-5m,crabnet_frontend,full,2,mattersim-v1-5m-baseline,test,unique_prototype,42451,0.0,,,,0,256963,205570,51393,mattersim-v1-5m-baseline,0.016727014911692983,0.04143167224609644,0.9975776299802918,0.016727014911692983,0.04143167224609644,0.9975776299802918,0.0,0.0,0.0,0.8722186904005086,6.75212129868275,0.8722186904005086,6.75212129868275,0.0,0.0
