baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
mattersim-v1-5m,crabnet_frontend,full,mat2vec+S64,test,all,0.01630512810074297,0.0005710143906969779,0.04274557801549514,0.0044061014097810155,0.9977598346977521,0.0005300302018658071,-0.00012195989995548092,3.736941625500469e-05,-0.0004854862084337802,9.320506245579474e-05,5.122456242494522e-05,1.5313229271143483e-05,0.8571457943516547,0.0069912370626235044,5.48524182365265,0.5024409407996168,-0.00020422655441860728,0.0010968886783135276,-0.024967797164741335,0.01564090282404225,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01626665755274013,0.0003248998464624086,51392.6,0.547722557504917,1.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+H64,test,all,0.016307044360879576,0.000570089747208034,0.0427260929989487,0.004404678904004773,0.9977615923756895,0.0005312553840991695,-0.00012004363981887867,4.146698064693185e-05,-0.000504971224980219,0.00012011487002223982,5.298224036247579e-05,1.5823417179039903e-05,0.857264639510826,0.006866446335104327,5.4835086334019945,0.5020696387717098,-8.538139524738586e-05,0.0008917785438619779,-0.026700987415397746,0.015494365901608837,0.22999999999999998,0.04472135954999579,1000.0,0.0,1000.0,0.0,0.016264685037101555,0.00032441635908847494,51392.6,0.547722557504917,2.0
mattersim-v1-5m,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.016307677959355397,0.0005690896347279632,0.042898608990314724,0.004442309410495907,0.9977431559431201,0.0005381390666788703,-0.0001194100413430578,3.788222125726274e-05,-0.00033245523361419423,6.27224509551294e-05,3.4545807793073814e-05,7.044333862163064e-06,0.8577001971443788,0.006816160071247663,5.488016177722902,0.5082762849440673,0.0003501762383056661,0.001002655426738283,-0.02219344309448985,0.010801939613248997,0.26,0.0547722557505166,1.0,0.0,1.0,0.0,0.016267437117823035,0.0003097983717627583,51392.6,0.547722557504917,3.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+S32,test,all,0.01631136283308225,0.0005736331541992546,0.04274305048701377,0.004393257666424682,0.9977600126066871,0.0005301836076417897,-0.00011572516761620654,3.819921526928974e-05,-0.00048801373691515214,7.377665337948487e-05,5.14024713601513e-05,1.3496429445767141e-05,0.8570221924801473,0.007072360522539936,5.485232859409234,0.5072247597753543,-0.00032782842592595787,0.0011181161220798416,-0.024976761408157345,0.012772250026944479,0.22999999999999998,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01627398294156438,0.00032284877590445997,51392.6,0.547722557504917,4.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+H32,test,all,0.01631305030620357,0.0005756577177295323,0.04276436212209411,0.004409955640715982,0.9977578280481536,0.0005307755649967117,-0.00011403769449488676,3.927734416686394e-05,-0.00046670210183480246,9.05615127130986e-05,4.9217912826482466e-05,1.4633569791638573e-05,0.8568924014791438,0.007529072556108234,5.485007126128691,0.5020316757357823,-0.0004576194269295231,0.0013943015972284953,-0.02520249468870066,0.0142600105400524,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01627513050844582,0.000322940063104218,51392.6,0.547722557504917,5.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+L64,test,all,0.016314041932909844,0.0005703658084726403,0.04272510296562114,0.004389456826806207,0.9977615994621548,0.0005314584878845596,-0.00011304606778860908,3.9789287278490975e-05,-0.0005059612583077743,0.0001076005870957548,5.298932682777924e-05,1.407170911602321e-05,0.857177758232012,0.007052419832574264,5.490777422198461,0.5116814244367762,-0.00017226267406129648,0.0009516411492298834,-0.019432198618930842,0.009413940279724602,0.24,0.04183300132670378,2297.3665961010274,1184.328250063711,1864.911064067352,1184.3282500637113,0.016273025703393368,0.0003179417615226126,51392.6,0.547722557504917,6.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+L32,test,all,0.01631649019581395,0.0005726494435885006,0.042768874427861835,0.004407469703979091,0.997757375699045,0.0005306829902602933,-0.00011059780488450327,3.864485428737912e-05,-0.0004621897960670848,9.208224043304532e-05,4.876556371800067e-05,1.4722653359665995e-05,0.8573239804003233,0.00691170739963138,5.493545542298177,0.5086042180359638,-2.6040505750013488e-05,0.0008452716646662053,-0.016664078519214698,0.006583061684950811,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.016279816715262498,0.00032090672320240376,51392.6,0.547722557504917,7.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec,test,all,0.016320469054573426,0.0005716941104500101,0.04275716046505591,0.004406882836809591,0.9977582973100402,0.0005322456867535382,-0.00010661894612503005,4.179161253490047e-05,-0.000473903758873008,0.00011849268755127205,4.9687174713142215e-05,1.4988712419128146e-05,0.8569282296697158,0.0071034245635596,5.490495912998531,0.5062612106600242,-0.0004217912363574161,0.000944858700891723,-0.019713707818860903,0.010965025439107753,0.22999999999999998,0.04472135954999579,863.2455532033676,305.7922392626484,863.2455532033676,305.7922392626484,0.016279235958755765,0.00032340807218849847,51392.6,0.547722557504917,8.0
mattersim-v1-5m,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.016327894407633825,0.0005680297191588493,0.042864948291733665,0.004436722577715751,0.997746622256899,0.0005376667111798553,-9.91935930646285e-05,4.435799586213676e-05,-0.0003661159321952503,7.502648565773612e-05,3.801212157192868e-05,8.047681249957978e-06,0.8576467522176683,0.006935262000480686,5.487940883577517,0.5083038945175558,0.0002967313115949777,0.001069695552563828,-0.022268737239875235,0.007834083412127199,0.26,0.0547722557505166,10.0,0.0,10.0,0.0,0.016283287745070974,0.00031820943663129234,51392.6,0.547722557504917,9.0
mattersim-v1-5m,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.016332957048015063,0.0005707372654715899,0.0428298304328246,0.0044381680402192465,0.9977501098575278,0.0005380808072153945,-9.413095268339076e-05,4.5814646280791455e-05,-0.00040123379110431484,9.765313036435852e-05,4.149972220073295e-05,9.353716791351777e-06,0.857798343256845,0.007408335765707176,5.497151736896333,0.5080440379572873,0.000448322350771746,0.0012567276357053536,-0.013057883921058177,0.012359560050868587,0.26,0.0547722557505166,316.22776601683796,0.0,316.22776601683796,0.0,0.01628102864127228,0.000309256699535558,51392.6,0.547722557504917,10.0
mattersim-v1-5m,crabnet_frontend,full,MDS_32_cos_zscore,test,all,0.016341657728491377,0.0005524430568904513,0.04299979128328184,0.004419479876475322,0.9977329705530158,0.0005369365824928816,-8.543027220707794e-05,2.184290488401499e-05,-0.0002312729406470787,5.2900995048874486e-05,2.436041768878461e-05,7.300762518118458e-06,0.8573963613020024,0.006961414973833445,5.489712385709916,0.5064102673713751,4.634039592901207e-05,0.0012395545106763902,-0.02049723510747494,0.013352230135853422,0.26,0.06519202405202647,316.22776601683796,0.0,316.22776601683796,0.0,0.016305758210177396,0.00031950662765666243,51392.6,0.547722557504917,11.0
mattersim-v1-5m,crabnet_frontend,full,MDS_F_32_cos_zscore,test,all,0.016349829852895494,0.0005668216685773349,0.0430189761776688,0.004427206932854446,0.9977309109415418,0.0005378007529864586,-7.725814780296312e-05,2.267164315107444e-05,-0.00021208804626012266,5.834992377081419e-05,2.230080621461461e-05,7.273389401844989e-06,0.8575431581837923,0.007258678169538447,5.493693746903,0.503416156497283,0.00019313727771901322,0.0011014769041546616,-0.016515873914391754,0.013248872370567853,0.25,0.07071067811865472,100.0,0.0,100.0,0.0,0.016312987419543845,0.0003236770671039326,51392.6,0.547722557504917,12.0
mattersim-v1-5m,crabnet_frontend,full,MDS_E_32_cos_zscore,test,all,0.016375566806943135,0.000553011188765333,0.04304543938118867,0.004415962503547297,0.9977281731174859,0.0005379138327365173,-5.152119375531998e-05,2.1663684274663864e-05,-0.00018562484274024793,6.468124927853277e-05,1.956298215883834e-05,7.2246016006944155e-06,0.8564158471972332,0.006639462608655427,5.496495388174756,0.5047521135825099,-0.0009341737088400803,0.0008892292378112733,-0.013714232642635337,0.015682973486965443,0.22999999999999998,0.0758287544405155,1000.0,0.0,1000.0,0.0,0.016329985382310164,0.00032101337181003094,51392.6,0.547722557504917,13.0
mattersim-v1-5m,crabnet_frontend,full,mattersim-v1-5m-baseline,test,all,0.016427088000698455,0.0005496784340834882,0.04323106422392892,0.004438946327273281,0.9977086101353271,0.0005422827900376214,0.0,0.0,0.0,0.0,0.0,0.0,0.8573500209060733,0.0062385637989577645,5.510209620817392,0.5142083824021066,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51392.6,0.547722557504917,14.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+S64,test,unique_prototype,0.01634320078394659,0.0005071685136541466,0.04051859234520465,0.0033421659029778347,0.9979289520313074,0.00043285285373287374,-8.860100832375484e-05,4.004554073203932e-05,-0.0004550465533646228,8.437945519660136e-05,4.704013875371782e-05,1.3782759739853998e-05,0.8778236188665625,0.006227596081191203,6.105802054009737,0.584013766428144,0.00030949141529437176,0.0006373776426111307,-0.016880205492264898,0.007435175019595196,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01626665755274013,0.0003248998464624086,43097.6,818.5540910654594,1.0
mattersim-v1-5m,crabnet_frontend,full,MDS_F_64_cos_zscore,test,unique_prototype,0.016344261979483278,0.0005030451361957273,0.040661026483730704,0.0033806479074610187,0.9979138979277409,0.0004399839349211144,-8.753981278706892e-05,4.253601599319177e-05,-0.0003126124148385728,5.727850401428716e-05,3.1986035187259175e-05,7.277194586167547e-06,0.8777026528632627,0.006155807487278157,6.1023030621226635,0.5868393378133758,0.00018852541199452233,0.0008166004775208253,-0.02037919737933791,0.010315263515679837,0.26,0.0547722557505166,1.0,0.0,1.0,0.0,0.016267437117823035,0.0003097983717627583,43097.6,818.5540910654594,2.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+H64,test,unique_prototype,0.01634703069720611,0.0005069011166636081,0.04050098476312557,0.003328999313284323,0.9979306214795564,0.00043310504958895814,-8.477109506423546e-05,4.722547447275794e-05,-0.00047265413544370083,0.00010907149212550562,4.870958700284866e-05,1.478333895139771e-05,0.8778451252807118,0.006015068679053123,6.1040310471117785,0.5845437554052714,0.00033099782944363555,0.0005682502097439222,-0.018651212390223115,0.005576539306677928,0.22999999999999998,0.04472135954999579,1000.0,0.0,1000.0,0.0,0.016264685037101555,0.00032441635908847494,43097.6,818.5540910654594,3.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+S32,test,unique_prototype,0.016349457721435715,0.0005087341159947876,0.040514556957870256,0.0033470500697324965,0.9979291913371557,0.0004341683143608819,-8.234407083463174e-05,3.907171777615684e-05,-0.00045908194069901875,6.865288252780961e-05,4.727944460214406e-05,1.2046950631132055e-05,0.8775641097227431,0.006356444885559215,6.104396283476582,0.5862487102318034,4.99822714749909e-05,0.0006060321497994205,-0.018285976025419613,0.009770300446385386,0.22999999999999998,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01627398294156438,0.00032284877590445997,43097.6,818.5540910654594,4.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+H32,test,unique_prototype,0.016350535857892354,0.0005112376401555511,0.040535252058246145,0.0033461702105691267,0.9979272210785322,0.0004334604364865543,-8.12659343779918e-05,4.09215025995664e-05,-0.0004383868403231309,8.240778456117738e-05,4.5309185978603675e-05,1.3274886607046598e-05,0.8773573150834837,0.006610316114776652,6.102781455410884,0.5831292766680936,-0.00015681236778448683,0.0010602600255713245,-0.01990080409111723,0.007913747728636728,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.01627513050844582,0.000322940063104218,43097.6,818.5540910654594,5.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+L32,test,unique_prototype,0.016352959370796515,0.0005084739516233877,0.04053916406892706,0.0033439438691283837,0.9979268362022248,0.0004333656847007541,-7.88424214738296e-05,4.0521423456366706e-05,-0.00043447482964222017,8.432679873858658e-05,4.492430967122374e-05,1.3410496519275607e-05,0.8777034114380701,0.006225981297640782,6.109327612460549,0.5879424472516734,0.0001892839868018914,0.0013787163095759908,-0.013354647041451884,0.00697851705998864,0.22000000000000003,0.0273861278752583,1000.0,0.0,1000.0,0.0,0.016279816715262498,0.00032090672320240376,43097.6,818.5540910654594,6.0
mattersim-v1-5m,crabnet_frontend,full,mat2vec+L64,test,unique_prototype,0.01635463049682219,0.0005088713686757648,0.04049814451193771,0.0033302271896787157,0.9979307605613889,0.00043423166092748265,-7.717129544815675e-05,4.6048255861712165e-05,-0.0004754943866315697,9.819886662532411e-05,4.884866883525518e-05,1.3265391923149858e-05,0.8776729381902155,0.006387763595118094,6.108423508547029,0.5896676703678589,0.0001588107389474569,0.0011462378887440602,-0.01425875095497311,0.010635955232689037,0.24,0.04183300132670378,2297.3665961010274,1184.328250063711,1864.911064067352,1184.3282500637113,0.016273025703393368,0.0003179417615226126,43097.6,818.5540910654594,7.0
