baseline_model,representation,subset,MAE,relative_MAE_improvement_vs_baseline_%
chgnet,mat2vec+S64,all,0.0480591912077736,11.177998172171105
chgnet,mat2vec+H64,all,0.048075352267558,11.148129636192133
chgnet,mat2vec+S32,all,0.0481142886614334,11.076168199450132
chgnet,mat2vec+L32,all,0.0481592611820458,10.993050918288098
chgnet,mat2vec,all,0.0481679213174856,10.97704543532984
chgnet,mat2vec+L64,all,0.0481882679909264,10.939441134880092
chgnet,mat2vec+H32,all,0.0482098815582648,10.899495387367672
chgnet,MDS_E_64_cos_zscore,all,0.0494623608523461,8.584689096365986
chgnet,MDS_64_cos_zscore,all,0.0494737721451633,8.563598981322539
chgnet,MDS_F_64_cos_zscore,all,0.0496806600166713,8.181233102092618
chgnet,MDS_F_32_cos_zscore,all,0.0501788756667492,7.26044125625076
chgnet,MDS_32_cos_zscore,all,0.0501846641784908,7.249743048736821
chgnet,MDS_E_32_cos_zscore,all,0.0503606295022066,6.9245275818941145
chgnet,chgnet-baseline,all,0.0541073047429518,0.0
m3gnet,mat2vec+H64,all,0.0566413265707213,11.727993704438875
m3gnet,mat2vec+S64,all,0.0566595006333685,11.699670551194819
m3gnet,mat2vec+H32,all,0.0566690792759866,11.68474282875823
m3gnet,mat2vec+S32,all,0.0567164388741375,11.610935822474367
m3gnet,mat2vec+L64,all,0.0567530836412118,11.553827218108552
m3gnet,mat2vec+L32,all,0.0567740258023244,11.521190154510371
m3gnet,mat2vec,all,0.0567948979674405,11.488662175346079
m3gnet,MDS_E_64_cos_zscore,all,0.058026164837727,9.569808866185996
m3gnet,MDS_64_cos_zscore,all,0.0581661477365726,9.351654171084672
m3gnet,MDS_F_64_cos_zscore,all,0.0583636667536368,9.043832992214252
m3gnet,MDS_32_cos_zscore,all,0.058807140864016,8.35270600361109
m3gnet,MDS_F_32_cos_zscore,all,0.0589140315459749,8.186123483001648
m3gnet,MDS_E_32_cos_zscore,all,0.0591580173068221,7.805886756189813
m3gnet,m3gnet-baseline,all,0.064166805477457,0.0
mace-mpa-0,mat2vec+S64,all,0.0194896744572426,0.08964463297801609
mace-mpa-0,mat2vec+H64,all,0.0194902667383235,0.08660840918681924
mace-mpa-0,mat2vec+L64,all,0.0194913316053145,0.08114955764350532
mace-mpa-0,mat2vec+L32,all,0.0194914615972891,0.08048317686809746
mace-mpa-0,mat2vec+H32,all,0.0194924508334497,0.07541203334725154
mace-mpa-0,mat2vec+S32,all,0.0194927794081437,0.07372765352272831
mace-mpa-0,mat2vec,all,0.0194939208919029,0.06787603972192026
mace-mpa-0,MDS_F_64_cos_zscore,all,0.0195009293776124,0.03194828221334875
mace-mpa-0,MDS_64_cos_zscore,all,0.019502123561246,0.025826511864218672
mace-mpa-0,MDS_E_64_cos_zscore,all,0.0195037375580671,0.01755264375467159
mace-mpa-0,MDS_F_32_cos_zscore,all,0.0195058225139545,0.006864487618883545
mace-mpa-0,mace-mpa-0-baseline,all,0.019507161580646,0.0
