baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
orb-v3,crabnet_frontend,full,0,orb-v3-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.0,0.0,0.0,0.9139490786978737,5.43944905122339,0.9139490786978737,5.43944905122339,0.0,0.0
orb-v3,crabnet_frontend,full,0,orb-v3-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.0,0.0,0.0,0.9327923191221854,6.097775427612593,0.9327923191221854,6.097775427612593,0.0,0.0
orb-v3,crabnet_frontend,full,0,orb-v3-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.0,0.0,0.0,0.9051778706165338,5.889593711901795,0.9051778706165338,5.889593711901795,0.0,0.0
orb-v3,crabnet_frontend,full,0,orb-v3-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.0,0.0,0.0,0.9263965475905058,6.507340582085849,0.9263965475905058,6.507340582085849,0.0,0.0
orb-v3,crabnet_frontend,full,1,orb-v3-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.01126501768195847,0.03641682794815985,0.9984584674046654,0.01126501768195847,0.03641682794815985,0.9984584674046654,0.0,0.0,0.0,0.91357345532457,5.437916877744147,0.91357345532457,5.437916877744147,0.0,0.0
orb-v3,crabnet_frontend,full,1,orb-v3-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011388132350497099,0.034137624124016275,0.9985958548236058,0.011388132350497099,0.034137624124016275,0.9985958548236058,0.0,0.0,0.0,0.9330322409245309,6.08879385540604,0.9330322409245309,6.08879385540604,0.0,0.0
orb-v3,crabnet_frontend,full,1,orb-v3-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.012068434387405194,0.03802243953731327,0.9980639140386002,0.012068434387405194,0.03802243953731327,0.9980639140386002,0.0,0.0,0.0,0.9068252261370104,5.89713593726268,0.9068252261370104,5.89713593726268,0.0,0.0
orb-v3,crabnet_frontend,full,1,orb-v3-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.01214534400877972,0.037285575692915046,0.9980962179137594,0.01214534400877972,0.037285575692915046,0.9980962179137594,0.0,0.0,0.0,0.9252640129975629,6.551699955342608,0.9252640129975629,6.551699955342608,0.0,0.0
orb-v3,crabnet_frontend,full,2,orb-v3-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011466463923507527,0.036372146739873566,0.9984779657801442,0.011466463923507527,0.036372146739873566,0.9984779657801442,0.0,0.0,0.0,0.9126112738237798,5.413903899285749,0.9126112738237798,5.413903899285749,0.0,0.0
orb-v3,crabnet_frontend,full,2,orb-v3-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011548183411441206,0.03423378261839055,0.998597297469396,0.011548183411441206,0.03423378261839055,0.998597297469396,0.0,0.0,0.0,0.9317820467256505,6.032881487949467,0.9317820467256505,6.032881487949467,0.0,0.0
orb-v3,crabnet_frontend,full,2,orb-v3-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.011262657260651749,0.03819312738122813,0.9979495148628559,0.011262657260651749,0.03819312738122813,0.9979495148628559,0.0,0.0,0.0,0.9110055220238861,6.0128772325211175,0.9110055220238861,6.0128772325211175,0.0,0.0
orb-v3,crabnet_frontend,full,2,orb-v3-baseline,test,unique_prototype,42451,0.0,,,,0,256963,205570,51393,orb-v3-baseline,0.01151291048337472,0.03700462321107436,0.9980676422605453,0.01151291048337472,0.03700462321107436,0.9980676422605453,0.0,0.0,0.0,0.9305387147063918,6.843876263126444,0.9305387147063918,6.843876263126444,0.0,0.0
orb-v3,crabnet_frontend,full,3,orb-v3-baseline,train,all,205571,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011726840839095974,0.03849435385907935,0.9982313362771423,0.011726840839095974,0.03849435385907935,0.9982313362771423,0.0,0.0,0.0,0.9103045347218018,5.665303881861508,0.9103045347218018,5.665303881861508,0.0,0.0
orb-v3,crabnet_frontend,full,3,orb-v3-baseline,train,unique_prototype,171977,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011821889882708648,0.036207942642027535,0.9983754477275241,0.011821889882708648,0.036207942642027535,0.9983754477275241,0.0,0.0,0.0,0.9296310987703293,6.342883054792798,0.9296310987703293,6.342883054792798,0.0,0.0
orb-v3,crabnet_frontend,full,3,orb-v3-baseline,test,all,51392,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.010221130433108632,0.028691104270699683,0.9990233879628004,0.010221130433108632,0.028691104270699683,0.9990233879628004,0.0,0.0,0.0,0.9193814104267417,5.022318399862004,0.9193814104267417,5.022318399862004,0.0,0.0
orb-v3,crabnet_frontend,full,3,orb-v3-baseline,test,unique_prototype,43511,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.010431946393709802,0.028546219787745224,0.9990137905260484,0.010431946393709802,0.028546219787745224,0.9990137905260484,0.0,0.0,0.0,0.9382326729279495,5.598278052396566,0.9382326729279495,5.598278052396566,0.0,0.0
orb-v3,crabnet_frontend,full,4,orb-v3-baseline,train,all,205571,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011382196562013839,0.03594005160222704,0.9984239070049807,0.011382196562013839,0.03594005160222704,0.9984239070049807,0.0,0.0,0.0,0.9109973029485743,5.675661543673616,0.9109973029485743,5.675661543673616,0.0,0.0
orb-v3,crabnet_frontend,full,4,orb-v3-baseline,train,unique_prototype,173469,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011557888542498061,0.03530407192152777,0.998433698731969,0.011557888542498061,0.03530407192152777,0.998433698731969,0.0,0.0,0.0,0.930449799827302,6.33647375886715,0.930449799827302,6.33647375886715,0.0,0.0
orb-v3,crabnet_frontend,full,4,orb-v3-baseline,test,all,51392,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011599727659993203,0.03979575910058641,0.9982558468267072,0.011599727659993203,0.03979575910058641,0.9982558468267072,0.0,0.0,0.0,0.9169269868163288,4.990256714379444,0.9169269868163288,4.990256714379444,0.0,0.0
orb-v3,crabnet_frontend,full,4,orb-v3-baseline,test,unique_prototype,42019,0.0,,,,0,256963,205571,51392,orb-v3-baseline,0.011472481694392913,0.03262080241702542,0.9987728759057515,0.011472481694392913,0.03262080241702542,0.9987728759057515,0.0,0.0,0.0,0.9355917728275567,5.5960549752535576,0.9355917728275567,5.5960549752535576,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H32,train,all,205570,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.011287991108572653,0.03643935933427992,0.9983592295023543,0.0,0.0,0.0,0.9139490786978737,5.43944905122339,0.9139490786978737,5.43944905122339,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H32,train,unique_prototype,171551,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.01138946336218195,0.034047823275792304,0.9985314840684607,0.0,0.0,0.0,0.9327923191221854,6.097775427612593,0.9327923191221854,6.097775427612593,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H32,test,all,51393,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.011976541574977864,0.03793599568619925,0.9985008948541072,0.0,0.0,0.0,0.9051778706165338,5.889593711901795,0.9051778706165338,5.889593711901795,0.0,0.0
orb-v3,crabnet_frontend,full,0,mat2vec+H32,test,unique_prototype,43937,0.0,1000.0,1000.0,0.01150553371093296,0,256963,205570,51393,orb-v3-baseline,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.012133822214753318,0.03757983060033432,0.9984298402068614,0.0,0.0,0.0,0.9263965475905058,6.507340582085849,0.9263965475905058,6.507340582085849,0.0,0.0
orb-v3,crabnet_frontend,full,1,mat2vec+H32,train,all,205570,0.05,1000.0,1000.0,0.011343553924722107,0,256963,205570,51393,orb-v3-baseline,0.011268356313354398,0.03630587057682305,0.99846784679541,0.01126501768195847,0.03641682794815985,0.9984584674046654,3.3386313959288955e-06,-0.00011095737133679645,9.379390744634897e-06,0.913251930068512,5.438963875774149,0.91357345532457,5.437916877744147,-0.0003215252560579973,0.0010469980300022996
orb-v3,crabnet_frontend,full,1,mat2vec+H32,train,unique_prototype,171918,0.05,1000.0,1000.0,0.011343553924722107,0,256963,205570,51393,orb-v3-baseline,0.011394124441230268,0.03403082324529399,0.9986046269252702,0.011388132350497099,0.034137624124016275,0.9985958548236058,5.992090733169045e-06,-0.00010680087872228655,8.772101664389353e-06,0.9324521924077555,6.089515232432995,0.9330322409245309,6.08879385540604,-0.0005800485167753999,0.0007213770269549613
orb-v3,crabnet_frontend,full,1,mat2vec+H32,test,all,51393,0.05,1000.0,1000.0,0.011343553924722107,0,256963,205570,51393,orb-v3-baseline,0.01207395839943224,0.037879440587263544,0.9980784495415103,0.012068434387405194,0.03802243953731327,0.9980639140386002,5.524012027045833e-06,-0.00014299895004972474,1.4535502910084652e-05,0.9063608717688798,5.903737052005122,0.9068252261370104,5.89713593726268,-0.00046435436813063724,0.006601114742442071
orb-v3,crabnet_frontend,full,1,mat2vec+H32,test,unique_prototype,43570,0.05,1000.0,1000.0,0.011343553924722107,0,256963,205570,51393,orb-v3-baseline,0.012156042635234376,0.037153939198235425,0.9981096367660759,0.01214534400877972,0.037285575692915046,0.9980962179137594,1.0698626454655469e-05,-0.00013163649467962113,1.3418852316537944e-05,0.9248169243287225,6.559582949566898,0.9252640129975629,6.551699955342608,-0.00044708866884035636,0.007882994224289952
orb-v3,crabnet_frontend,full,2,mat2vec+H32,train,all,205570,0.0,1000.0,1000.0,0.011539182039919637,0,256963,205570,51393,orb-v3-baseline,0.011466463923507527,0.036372146739873566,0.9984779657801442,0.011466463923507527,0.036372146739873566,0.9984779657801442,0.0,0.0,0.0,0.9126112738237798,5.413903899285749,0.9126112738237798,5.413903899285749,0.0,0.0
orb-v3,crabnet_frontend,full,2,mat2vec+H32,train,unique_prototype,173037,0.0,1000.0,1000.0,0.011539182039919637,0,256963,205570,51393,orb-v3-baseline,0.011548183411441206,0.03423378261839055,0.998597297469396,0.011548183411441206,0.03423378261839055,0.998597297469396,0.0,0.0,0.0,0.9317820467256505,6.032881487949467,0.9317820467256505,6.032881487949467,0.0,0.0
orb-v3,crabnet_frontend,full,2,mat2vec+H32,test,all,51393,0.0,1000.0,1000.0,0.011539182039919637,0,256963,205570,51393,orb-v3-baseline,0.011262657260651749,0.03819312738122813,0.9979495148628559,0.011262657260651749,0.03819312738122813,0.9979495148628559,0.0,0.0,0.0,0.9110055220238861,6.0128772325211175,0.9110055220238861,6.0128772325211175,0.0,0.0
orb-v3,crabnet_frontend,full,2,mat2vec+H32,test,unique_prototype,42451,0.0,1000.0,1000.0,0.011539182039919637,0,256963,205570,51393,orb-v3-baseline,0.01151291048337472,0.03700462321107436,0.9980676422605453,0.01151291048337472,0.03700462321107436,0.9980676422605453,0.0,0.0,0.0,0.9305387147063918,6.843876263126444,0.9305387147063918,6.843876263126444,0.0,0.0
orb-v3,crabnet_frontend,full,3,mat2vec+H32,train,all,205571,0.0,1000.0,1000.0,0.011133266212351691,0,256963,205571,51392,orb-v3-baseline,0.011726840839095974,0.03849435385907935,0.9982313362771423,0.011726840839095974,0.03849435385907935,0.9982313362771423,0.0,0.0,0.0,0.9103045347218018,5.665303881861508,0.9103045347218018,5.665303881861508,0.0,0.0
orb-v3,crabnet_frontend,full,3,mat2vec+H32,train,unique_prototype,171977,0.0,1000.0,1000.0,0.011133266212351691,0,256963,205571,51392,orb-v3-baseline,0.011821889882708648,0.036207942642027535,0.9983754477275241,0.011821889882708648,0.036207942642027535,0.9983754477275241,0.0,0.0,0.0,0.9296310987703293,6.342883054792798,0.9296310987703293,6.342883054792798,0.0,0.0
orb-v3,crabnet_frontend,full,3,mat2vec+H32,test,all,51392,0.0,1000.0,1000.0,0.011133266212351691,0,256963,205571,51392,orb-v3-baseline,0.010221130433108632,0.028691104270699683,0.9990233879628004,0.010221130433108632,0.028691104270699683,0.9990233879628004,0.0,0.0,0.0,0.9193814104267417,5.022318399862004,0.9193814104267417,5.022318399862004,0.0,0.0
