baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
orb-v3,crabnet_frontend,full,orb-v3-baseline,test,all,0.011425698263227329,0.0007457195076300292,0.03652768519520535,0.004446448984713447,0.9983587117090142,0.00042630372931024284,0.0,0.0,0.0,0.0,0.0,0.0,0.9118634032041001,0.006184170232453306,5.562436399185408,0.510164110185851,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51392.6,0.547722557504917,1.0
orb-v3,crabnet_frontend,full,MDS_E_32_cos_zscore,test,all,0.011428320732604849,0.0007465071585039694,0.03652118089977921,0.004440493081580757,0.9983592816115541,0.000426133706920848,2.6224693775202257e-06,5.864019797046783e-06,-6.504295426137952e-06,1.4544046718585423e-05,5.699025399374946e-07,1.2743408198500268e-06,0.9116619218134618,0.005991359657733493,5.563276976393147,0.5089877691727809,-0.00020148139063831395,0.0004505260856684597,0.0008405772077388462,0.0018795877768410226,0.01,0.022360679774997897,1000.0,0.0,1000.0,0.0,0.011408452040526375,0.00017190440474812655,51392.6,0.547722557504917,2.0
orb-v3,crabnet_frontend,full,mat2vec+S64,test,all,0.011428515879911989,0.0007470360039953454,0.036478834836950656,0.004416863271228081,0.998363408253508,0.0004232274855198428,2.817616684660726e-06,4.778319756582217e-06,-4.885035825469286e-05,6.952554410729131e-05,4.696544493820731e-06,6.864813161354131e-06,0.9117849620168587,0.0063350225556180325,5.563299091591955,0.5105983805792235,-7.844118724154026e-05,0.00027585632769987613,0.0008626924065467279,0.0016050457186726804,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011406649493726152,0.000171424848119782,51392.6,0.547722557504917,3.0
orb-v3,crabnet_frontend,full,mat2vec+H64,test,all,0.011428604220179658,0.000747077328048943,0.036478989997337716,0.004416964389601488,0.9983633935931895,0.0004232361108339994,2.905956952328412e-06,4.929239627476586e-06,-4.86951978676306e-05,6.932070965512104e-05,4.681884175239404e-06,6.845283647440371e-06,0.9117392816654604,0.006332321507448707,5.563782796193415,0.5108198672213262,-0.00012412153863969878,0.0003002632552966784,0.0013463970080071163,0.0024793349239466585,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011406864755039168,0.0001713525559171016,51392.6,0.547722557504917,4.0
orb-v3,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.011428736720720962,0.0007472065331724603,0.03649768266132414,0.004428185906157048,0.9983615984523775,0.0004244009305124097,3.0384574936339475e-06,4.9797896325687985e-06,-3.0002533881207105e-05,4.272638957906055e-05,2.886743363261779e-06,4.222768475661475e-06,0.9117214777493874,0.006151774835918527,5.5636690518519085,0.5117750795789757,-0.00014192545471281015,0.00020372581558933582,0.0012326526665001226,0.0035458192921191704,0.02,0.027386127875258306,10.0,0.0,10.0,0.0,0.011407337937881854,0.0001711095195761812,51392.6,0.547722557504917,5.0
orb-v3,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.011428769818664957,0.0007470498773701984,0.03650114504001335,0.004430267957858874,0.9983612653883096,0.00042461958813097116,3.0715554376295475e-06,5.511233955582241e-06,-2.6540155191993876e-05,3.77796989769141e-05,2.5536792953584353e-06,3.73370644722838e-06,0.91178512661002,0.006116064586675749,5.563104989171632,0.5117233165550037,-7.827659408015109e-05,0.00016132699835840313,0.0006685899862237221,0.00292765062112615,0.02,0.027386127875258306,1.0,0.0,1.0,0.0,0.011407159873884468,0.00017103652675305974,51392.6,0.547722557504917,6.0
orb-v3,crabnet_frontend,full,mat2vec+L64,test,all,0.011428865484591405,0.0007471370521635335,0.03648095175045678,0.004418119953756521,0.9983632048742852,0.00042335950763802043,3.167221364076475e-06,5.55079095235162e-06,-4.6733444748565946e-05,6.649993436351693e-05,4.4931652710022975e-06,6.566069326366183e-06,0.9117493394100988,0.0062839347478744175,5.563498127777367,0.5112772744723689,-0.00011406379400142885,0.00022888397441068792,0.0010617285919593655,0.002681683985734477,0.02,0.027386127875258306,1864.911064067352,1184.3282500637113,1864.911064067352,1184.3282500637113,0.011406535145480016,0.00017120063460769787,51392.6,0.547722557504917,7.0
orb-v3,crabnet_frontend,full,MDS_F_32_cos_zscore,test,all,0.011429011829146022,0.0007472347359460582,0.03651017854303123,0.0044357102592551545,0.9983603957166014,0.00042519382272737893,3.3135659186934313e-06,5.7184944032629755e-06,-1.750665217411934e-05,2.4853340518766248e-05,1.6840075873325589e-06,2.454206084066625e-06,0.9116348286443229,0.006152907875546869,5.564190883197615,0.5109560542040887,-0.0002285745597772726,0.0003201481833856177,0.0017544840122063476,0.0031631527515482817,0.02,0.027386127875258306,272.98221281347037,96.69999668731373,272.98221281347037,96.69999668731373,0.011407424557252877,0.0001715137916137883,51392.6,0.547722557504917,8.0
orb-v3,crabnet_frontend,full,MDS_32_cos_zscore,test,all,0.011429119636287653,0.0007467560925446547,0.036520954951379594,0.004440286896024798,0.9983593014006462,0.0004261278703676908,3.4213730603242786e-06,7.650422739271577e-06,-6.73024382575188e-06,1.5049282699529455e-05,5.896916320580204e-07,1.3185905750445276e-06,0.9117062730443095,0.006031443164308526,5.562117961098733,0.5106108457974208,-0.00015713015979061938,0.00035135371860722906,-0.00031843808667595395,0.0007120492084324031,0.01,0.022360679774997897,316.22776601683796,0.0,316.22776601683796,0.0,0.0114082335444176,0.00017173052013512744,51392.6,0.547722557504917,9.0
orb-v3,crabnet_frontend,full,mat2vec+L32,test,all,0.011429245436556622,0.0007474911723571964,0.03648122561391028,0.004418307568836623,0.9983631792370256,0.00042337372119667806,3.5471733292935514e-06,5.732256748457264e-06,-4.645958129506217e-05,6.615512532484854e-05,4.467528011442567e-06,6.533930836728271e-06,0.9117889387115925,0.006124509702999037,5.563545652082497,0.5114146961512688,-7.44644925076754e-05,0.0001467122412208855,0.001109252897088453,0.0029188317852769526,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407166935024672,0.00017127259778060045,51392.6,0.547722557504917,10.0
