baseline_model,residual_route,metrics_variant,fold,representation,split,subset,n_rows,gamma,alpha,inner_alpha,inner_holdout_mae,n_dropped_total,n_total_representation,n_train_representation,n_test_representation,baseline_representation,MAE,RMSE,R2,baseline_MAE_on_eval_rows,baseline_RMSE_on_eval_rows,baseline_R2_on_eval_rows,delta_MAE_vs_baseline,delta_RMSE_vs_baseline,delta_R2_vs_baseline,F1,DAF,baseline_F1_on_eval_rows,baseline_DAF_on_eval_rows,delta_F1_vs_baseline,delta_DAF_vs_baseline
sevennet-l3i5,crabnet_frontend,full,0,sevennet-l3i5-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.035244921057769205,0.0693358560009969,0.9940595118184397,0.035244921057769205,0.0693358560009969,0.9940595118184397,0.0,0.0,0.0,0.77363055365209,4.450801859134807,0.77363055365209,4.450801859134807,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,0,sevennet-l3i5-baseline,train,unique_prototype,171551,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.03684421613262988,0.07020866241049492,0.9937557345592244,0.03684421613262988,0.07020866241049492,0.9937557345592244,0.0,0.0,0.0,0.7839311859443631,4.926100222167978,0.7839311859443631,4.926100222167978,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,0,sevennet-l3i5-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.0373292825188814,0.07143966672028704,0.9946837186092903,0.0373292825188814,0.07143966672028704,0.9946837186092903,0.0,0.0,0.0,0.767007011932587,4.851456363391036,0.767007011932587,4.851456363391036,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,0,sevennet-l3i5-baseline,test,unique_prototype,43937,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.039027840513383094,0.07308554197925946,0.9940612210586092,0.039027840513383094,0.07308554197925946,0.9940612210586092,0.0,0.0,0.0,0.7808850645359557,5.274849491461921,0.7808850645359557,5.274849491461921,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,1,sevennet-l3i5-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.03548031266453858,0.0693997821940947,0.9944015900307915,0.03548031266453858,0.0693997821940947,0.9944015900307915,0.0,0.0,0.0,0.7748297985599417,4.465294184553604,0.7748297985599417,4.465294184553604,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,1,sevennet-l3i5-baseline,train,unique_prototype,171918,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.03712735453922525,0.07029047659110131,0.9940469654396107,0.03712735453922525,0.07029047659110131,0.9940469654396107,0.0,0.0,0.0,0.7851408553495839,4.928983561441317,0.7851408553495839,4.928983561441317,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,1,sevennet-l3i5-baseline,test,all,51393,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.03638772525225792,0.07119094718752214,0.9932127441204114,0.03638772525225792,0.07119094718752214,0.9932127441204114,0.0,0.0,0.0,0.7618291715000916,4.782961759358708,0.7618291715000916,4.782961759358708,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,1,sevennet-l3i5-baseline,test,unique_prototype,43570,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.037929029440687975,0.07279843888456951,0.9927426233609703,0.037929029440687975,0.07279843888456951,0.9927426233609703,0.0,0.0,0.0,0.7756849315068495,5.264378173994762,0.7756849315068495,5.264378173994762,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,2,sevennet-l3i5-baseline,train,all,205570,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.03558616933930235,0.06965434479709885,0.9944180881925112,0.03558616933930235,0.06965434479709885,0.9944180881925112,0.0,0.0,0.0,0.7741953524789574,4.452561843628221,0.7741953524789574,4.452561843628221,0.0,0.0
sevennet-l3i5,crabnet_frontend,full,2,sevennet-l3i5-baseline,train,unique_prototype,173037,0.0,,,,0,256963,205570,51393,sevennet-l3i5-baseline,0.037139801406147546,0.07053024248900001,0.9940460311625063,0.037139801406147546,0.07053024248900001,0.9940460311625063,0.0,0.0,0.0,0.7853146978936197,4.891851220106263,0.7853146978936197,4.891851220106263,0.0,0.0
