baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
sevennet-l3i5,crabnet_frontend,full,mat2vec+S64,test,all,0.03421289051263608,0.0014884000070948936,0.06395892329989036,0.0030531446680235512,0.9950278700503562,0.0007350699019427243,-0.0014488955903684305,0.00027857160719229604,-0.005723347126388512,0.0008285706676172382,0.0009356819078003342,0.00022052658956760605,0.7616912418088255,0.014185911145653611,4.685932217216071,0.38661367240529754,-0.009955558973926882,0.0044371258665531,0.13479318944936872,0.021378591237749083,0.52,0.08366600265340757,1000.0,0.0,1000.0,0.0,0.034181369018303924,0.0010808697285376975,51392.6,0.547722557504917,1.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+H32,test,all,0.034227579667403724,0.0014897136251529276,0.06406299414751637,0.003054162855968143,0.9950111916352535,0.0007417358407715451,-0.0014342064356007947,0.00026208357471569607,-0.005619276278762504,0.0008148213109054875,0.0009190034926975565,0.00021452741796132413,0.7642589440469926,0.014292669297046584,4.710416777147823,0.3945840762109555,-0.007387856735759857,0.004715961246307204,0.15927774938112088,0.026437143186288144,0.52,0.08366600265340757,1000.0,0.0,663.2455534033676,474.48042094835256,0.03420215458084932,0.0010625117898097403,51392.6,0.547722557504917,2.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+S32,test,all,0.034249012336171655,0.0014758959165091863,0.06404809068593682,0.003053212015235743,0.9950136177338228,0.0007403946187495799,-0.0014127737668328643,0.00028769068812297587,-0.005634179740342053,0.0008218886137791873,0.0009214295912669535,0.00021607228096207691,0.7617117565943207,0.014708723210968893,4.689406253052855,0.3885557722431224,-0.009935044188431719,0.004542439410163952,0.13826722528615304,0.01885445171385136,0.52,0.08366600265340757,863.2455532033676,305.7922392626484,863.2455532033676,305.7922392626484,0.03420658168273752,0.001055949839027926,51392.6,0.547722557504917,3.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+L32,test,all,0.03425554326414916,0.0014895743365256028,0.06403046761300388,0.0030368924437934944,0.9950148286141502,0.0007524037879423926,-0.0014062428388553609,0.00027789092984527547,-0.005651802813274989,0.0008673654742243207,0.000922640471594205,0.00021103178612074717,0.7626742299818967,0.014301727558106398,4.713584836100276,0.3935295052437676,-0.008972570800855673,0.0048668343451097554,0.16244580833357408,0.02277716242804203,0.53,0.09082951062292476,1000.0,0.0,1000.0,0.0,0.034207141717834164,0.0010595889297880616,51392.6,0.547722557504917,4.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+L64,test,all,0.034263694183733304,0.0014933406589308113,0.06407986884595268,0.00305856391311373,0.9950084214719055,0.0007434852809829806,-0.0013980919192712175,0.0002780787477331012,-0.00560240158032619,0.0008110269348136736,0.0009162333293496916,0.00021303051467054602,0.7621017019367455,0.014334932144450195,4.706034270279202,0.38940374332491035,-0.009545098846006805,0.004784486738212279,0.1548952425125009,0.02018943888627362,0.52,0.08366600265340757,1000.0,0.0,1000.0,0.0,0.0342289976617699,0.0010622979615336225,51392.6,0.547722557504917,5.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+H64,test,all,0.03426900909182058,0.0014907083055870738,0.07100282357410918,0.017622957685339828,0.99371602542776,0.0030063546293364143,-0.0013927770111839335,0.000304148754002715,0.001320553147830307,0.01592680039584397,-0.00037616271479590235,0.0029979087047922984,0.7616815151539144,0.013335234483196314,4.685503544173423,0.393400034502551,-0.009965285628838005,0.00394419094663816,0.13436451640672117,0.01848732784611906,0.52,0.08366600265340757,663.2455534033676,474.48042094835256,726.4911064067352,374.5174767482784,0.03416706182548392,0.0010802876207521293,51392.6,0.547722557504917,6.0
sevennet-l3i5,crabnet_frontend,full,mat2vec,test,all,0.03430906818752936,0.0014970576457833539,0.06631148074885032,0.006951913447940839,0.9946525956059169,0.0010503954971176582,-0.0013527179154751586,0.0002816795894883174,-0.0033707896774285455,0.004973896147148772,0.0005604074633609013,0.0008395022346359009,0.7625210045751186,0.015229820312107215,4.706655043966568,0.3888455309585679,-0.009125796207633808,0.005752982078497326,0.15551601619986571,0.022419517878883077,0.52,0.08366600265340757,252.98221301347039,141.42135579009593,252.98221301347039,141.42135579009593,0.03422566093649019,0.0010539392597019102,51392.6,0.547722557504917,7.0
sevennet-l3i5,crabnet_frontend,full,MDS_E_64_cos_zscore,test,all,0.03496649535892575,0.0015358125920660708,0.06654206321304018,0.0034225408219012246,0.9946142177389611,0.0008395679678052014,-0.0006952907440787637,0.00018823826088103663,-0.003140207213238694,0.0004130759835425174,0.0005220295964051491,0.00011187388501785686,0.7648088348157415,0.012920062559920302,4.678789459123253,0.3913689676363107,-0.006837965967010961,0.005170358191750356,0.12765043135655124,0.027104628706359858,0.38,0.07582875444051551,100.0,0.0,100.0,0.0,0.03487722118737644,0.0011874413323817341,51392.6,0.547722557504917,8.0
sevennet-l3i5,crabnet_frontend,full,MDS_64_cos_zscore,test,all,0.03503425345624864,0.0015671481364133227,0.06714627987881279,0.003522310403741635,0.9945134530327339,0.0008790100269160021,-0.0006275326467558809,0.00011278483807393867,-0.002535990547466084,0.00030855162384717,0.00042126489017790814,7.265960944322417e-05,0.7641338910088686,0.011784376474811255,4.614983232205748,0.37578438384001567,-0.007512909773883703,0.0023078725936369325,0.06384420443904552,0.016787285775865555,0.30999999999999994,0.04183300132670377,2.7298221281347037,0.9669999668731372,2.7298221281347037,0.9669999668731372,0.0349951279403927,0.0012338922550532679,51392.6,0.547722557504917,9.0
sevennet-l3i5,crabnet_frontend,full,MDS_F_64_cos_zscore,test,all,0.0351462091575082,0.0015784945129882638,0.06771418513301936,0.0036193103020819304,0.9944207095307815,0.0008927389419147726,-0.0005155769454963169,0.0001128808392115376,-0.0019680852932595153,0.00028262165373767363,0.0003285213882256555,6.349616484907118e-05,0.7656890958186138,0.010935192538230136,4.615434831505087,0.3869657766457472,-0.005957704964138677,0.0024900922573026017,0.06429580373838455,0.029919136887076633,0.3,0.04999999999999999,0.31622776601683794,0.0,0.31622776601683794,0.0,0.03507433567016128,0.0012295103871501672,51392.6,0.547722557504917,10.0
sevennet-l3i5,crabnet_frontend,full,MDS_32_cos_zscore,test,all,0.035343380390673244,0.001602951565823032,0.06850427102937778,0.003596254581624402,0.994287700435261,0.0009286921571063706,-0.0003184057123312697,7.285227326470494e-05,-0.001177999396901086,0.0002403125411777248,0.00019551229270513558,3.167453907787169e-05,0.7668575716081336,0.010472115038011282,4.599767071869391,0.3903542470571512,-0.00478922917461877,0.0019337169603504654,0.048628044102689394,0.03069568345071157,0.27999999999999997,0.057008771254956896,31.62277660168379,0.0,31.62277660168379,0.0,0.03523701672770365,0.001236137049646029,51392.6,0.547722557504917,11.0
sevennet-l3i5,crabnet_frontend,full,MDS_F_32_cos_zscore,test,all,0.03535387943840096,0.0016279794103091685,0.06859837725879507,0.0035925759358432538,0.9942736066140361,0.0009177984896296319,-0.00030790666460355637,5.995690810158229e-05,-0.0010838931674838042,0.0001639573213128688,0.00018141847148012147,3.105222995855363e-05,0.7663173718142027,0.011822865035876049,4.6102210154389205,0.3833192471772406,-0.00532942896854971,0.0023704438817941163,0.05908198767221862,0.025713584627302364,0.29,0.04183300132670376,10.0,0.0,10.0,0.0,0.03524327343622399,0.0012656271026062155,51392.6,0.547722557504917,12.0
sevennet-l3i5,crabnet_frontend,full,MDS_E_32_cos_zscore,test,all,0.035434562358672164,0.001618827794326392,0.06872466009017195,0.0036736452452162138,0.9942539112844487,0.0009119439971806049,-0.00022722374433235826,4.204339152115808e-05,-0.0009576103361069246,0.00019740008697882182,0.0001617231418928222,4.2495448119802874e-05,0.7683362841181731,0.011892164225239846,4.590981893811483,0.3777888227326194,-0.003310516664579288,0.0013901269592417513,0.03984286604478058,0.01597444941816414,0.21000000000000002,0.04183300132670378,316.22776601683796,0.0,316.22776601683796,0.0,0.03536287947881108,0.001256541583615369,51392.6,0.547722557504917,13.0
sevennet-l3i5,crabnet_frontend,full,sevennet-l3i5-baseline,test,all,0.035661786103004516,0.0016270093780891431,0.06968227042627886,0.0037204919638692087,0.994092188142556,0.0009420958467902664,0.0,0.0,0.0,0.0,0.0,0.0,0.7716468007827524,0.010544393148524626,4.551139027766702,0.37898375775085985,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,51392.6,0.547722557504917,14.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+S64,test,unique_prototype,0.035572054603720475,0.0014978443692183173,0.06467098963334103,0.0024619033861850623,0.9947562633222351,0.0007310193479955192,-0.0017148822915115977,0.0002869448807405052,-0.00607273609359432,0.00086114110045518,0.0010377607505108522,0.00023731956928031253,0.7749003700553114,0.01317531284978077,5.15421113295614,0.432096669625402,-0.007807880985263882,0.004406437793407178,0.1328439529767554,0.019955402257170064,0.52,0.08366600265340757,1000.0,0.0,1000.0,0.0,0.034181369018303924,0.0010808697285376975,43097.6,818.5540910654594,1.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+H32,test,unique_prototype,0.03559747908268124,0.001501367926085847,0.0647828664350938,0.0024795824776671638,0.9947377294434003,0.0007376573784126431,-0.0016894578125508319,0.00026436525707739504,-0.0059608592918415455,0.0008427967603169045,0.0010192268716761265,0.00023132758536284183,0.7768307871693525,0.013603406788384328,5.173907954714482,0.4361652325144374,-0.005877463871222788,0.004859471148132174,0.152540774735097,0.020867268815927553,0.52,0.08366600265340757,1000.0,0.0,663.2455534033676,474.48042094835256,0.03420215458084932,0.0010625117898097403,43097.6,818.5540910654594,2.0
sevennet-l3i5,crabnet_frontend,full,mat2vec+L32,test,unique_prototype,0.03561512065604275,0.0014923922567333292,0.06473929578600338,0.00242678464775327,0.9947435848414706,0.0007464528942920445,-0.0016718162391893263,0.00028986156077481063,-0.006004429940931982,0.0008986907384381768,0.0010250822697463803,0.00022917436005043338,0.7750628624406397,0.013333234705838127,5.175990150134696,0.44134419384129164,-0.007645388599935643,0.005019000137722693,0.15462297015531146,0.02106184581007832,0.53,0.09082951062292476,1000.0,0.0,1000.0,0.0,0.034207141717834164,0.0010595889297880616,43097.6,818.5540910654594,3.0
